"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YSUCCEIW","conferencePaper","2016","Neudecker, C.; Antonacopoulos, A.","Making Europe's Historical Newspapers Searchable","Proc. - IAPR Int. Workshop Doc. Anal. Syst., DAS","9781509017928 (ISBN)","","10.1109/DAS.2016.83","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979556437&doi=10.1109%2fDAS.2016.83&partnerID=40&md5=8f07aa6473046bc026f95a822340502c","This paper provides a rare glimpse into the overall approach for the refinement, i.e. the enrichment of scanned historical newspapers with text and layout recognition, in the Europeana Newspapers project. Within three years, the project processed more than 10 million pages of historical newspapers from 12 national and major libraries to produce the largest open access and fully searchable text collection of digital historical newspapers in Europe. In this, a wide variety of legal, logistical, technical and other challenges were encountered. After introducing the background issues in newspaper digitization in Europe, the paper discusses the technical aspects of refinement in greater detail. It explains what decisions were taken in the design of the large-scale processing workflow to address these challenges, what were the results produced and what were identified as best practices. © 2016 IEEE.","2016","2022-11-04 12:02:03","2023-08-21 17:52:22","2016-04-11","405-410","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","Journal Abbreviation: Proc. - IAPR Int. Workshop Doc. Anal. Syst., DAS","","/home/ebn/pCloudDrive/zot_library/IEEE/2016/neudecker_antonacopoulos_2016_making europe's historical newspapers searchable.pdf; /home/ebn/Zotero/storage/L8533WTD/7490152.html","","Best practices; Character recognition; digital libraries; Digital libraries; Digitisation; Electronic publishing; europeana; HEMDIG - PROJETOS SIMILARES; HEMDIG - SCOPUS; HEMDIG FRAMEWORK; historical newspapers; Historical newspapers; large-scale digitisation; Large-scale processing; layout analysis; Layout analysis; newspapers; Newsprint; OCR; OLR; Open Access; optical character recognition; Optical character recognition; SCOPUS; Technical aspects; Text collection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12th IAPR International Workshop on Document Analysis Systems, DAS 2016","","","","","","","","","","","","","","",""
"D2UA7XU9","conferencePaper","2014","Neudecker, Clemens; Wilms, Lotte; Faber, Wille Jaan; van Veen, Theo","Large-scale refinement of digital historic newspapers with named entity recognition","Proc IFLA Newspapers/GENLOC Pre-Conference Satellite Meeting","","","","","","2014","2020-09-25 17:42:23","2022-11-04 18:19:11","","","","","","","","","","","","","","","","","","","","Google Scholar","","","","/home/ebn/pCloudDrive/zot_library/undefined/2014/neudeckeret al_2014_large-scale refinement of digital historic newspapers with.pdf","","europeana; HEMDIG - PROJETOS SIMILARES; HEMDIG FRAMEWORK; newspapers; OCR; OLR; ALTO XML; large-scale refinement; NER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2LCLVGML","journalArticle","2021","Düring, M.; Kalyakin, R.; Bunout, E.; Guido, D.","Impresso inspect and compare. Visual comparison of semantically enriched historical newspaper articles","Information","","2078-2489","10.3390/info12090348","https://www.mdpi.com/2078-2489/12/9/348","The automated enrichment of mass-digitised document collections using techniques such as text mining is becoming increasingly popular. Enriched collections offer new opportunities for interface design to allow data-driven and visualisation-based search, exploration and interpretation. Most such interfaces integrate close and distant reading and represent semantic, spatial, social or temporal relations, but often lack contrastive views. Inspect and Compare (I&C) contributes to the current state of the art in interface design for historical newspapers with highly versatile side-by-side comparisons of query results and curated article sets based on metadata and semantic enrichments. I&C takes search queries and pre-curated article sets as inputs and allows comparisons based on the distributions of newspaper titles, publication dates and automatically generated enrichments, such as language, article types, topics and named entities. Contrastive views of such data reveal patterns, help humanities scholars to improve search strategies and to facilitate a critical assessment of the overall data quality. I&C is part of the impresso interface for the exploration of digitised and semantically enriched historical newspapers. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","2021","2021-11-29 23:24:36","2023-08-21 17:54:49","","348","","9","12","","Information","","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","Scopus","","www.mdpi.com","","Publisher: MDPI","","/home/ebn/pCloudDrive/zot_library/Information/2021/düring_et_al_2021_impresso_inspect_and_compare.pdf; /home/ebn/Zotero/storage/5DHY9STI/348.html","","Automatically generated; Comparison; Critical assessment; Data criticism; Digital history; Digital humanities; Diverging bar charts; Document collection; GUI; HEMDIG - PROJETOS SIMILARES; HEMDIG - SCOPUS; HEMDIG FRAMEWORK; Historical newspapers; impresso project; Interface states; Metadata; Natural language processing systems; newspapers; Newsprint; SCOPUS; Search; Search strategies; semantic enrichment; Semantic enrichment; Semantics; Small multiples; Temporal relation; Text mining; User interface; Visual comparison","comparison; data criticism; digital history; digital humanities; diverging bar charts; historical newspapers; metadata; search; small multiples; user interface","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEW3XCPM","conferencePaper","2020","Liebl, B.; Burghardt, M.","From historical newspapers to machine-readable data: The origami OCR pipeline","CEUR Workshop Proc.","16130073 (ISSN)","","","http://ceur-ws.org/Vol-2723/long20.pdf","While historical newspapers recently have gained a lot of attention in the digital humanities, transforming them into machine-readable data by means of OCR poses some major challenges. In order to address these challenges, we have developed an end-to-end OCR pipeline named Origami. This pipeline is part of a current project on the digitization and quantitative analysis of the German newspaper ""Berliner Börsen-Zeitung""(BBZ), from 1872 to 1931. The Origami pipeline reuses existing open source OCR components and on top offers a new configurable architecture for layout detection, a simple table recognition, a two-stage X-Y cut for reading order detection, and a new robust implementation for document dewarping. In this paper we describe the different stages of the workflow and discuss how they meet the above-mentioned challenges posed by historical newspapers. © 2020 Copyright for this paper by its authors.","2020","2022-11-04 12:01:39","2023-08-21 17:52:22","2020-11-18","351-373","","","2723","","","","","","","","CEUR-WS","Amsterdam","en","","","Scopus","","","","Journal Abbreviation: CEUR Workshop Proc.","","/home/ebn/pCloudDrive/zot_library/undefined/undefined/liebl_burghardt_from_historical_newspapers_to_machine-readable_data.pdf","","Configurable architectures; Current projects; Deep neural networks; Different stages; Digital humanities; digital tool; End-to-end OCR; German newspapers; HEMDIG - SCOPUS; HEMDIG FRAMEWORK; Historical newspapers; Humanities computing; Layout detection; Metadata; newspapers; Newsprint; OCR; OLR; Order detections; origami ocr pipeline; Pipelines; Readable data; SCOPUS","","Karsdorp F.; McGillivray B.; Nerghes A.; Wevers M.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1st Workshop on Computational Humanities Research, CHR 2020","","","","","","","","","","","","","","",""
"U7549RWK","conferencePaper","2015","Pletschacher, S.; Clausner, C.; Antonacopoulos, A.; FamilySearch","Europeana newspapers OCR workflow evaluation","Proceedings of the 3rd international workshop on historical document imaging and processing","9781450336024 (ISBN)","","10.1145/2809544.2809554","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014883617&doi=10.1145%2f2809544.2809554&partnerID=40&md5=9106dbb1686730d5f3b8f2b30d737722","This paper summarises the final performance evaluation results of the OCR workflow which was employed for large-scale production in the Europeana Newspapers project. It gives a detailed overview of how the involved software performed on a representative dataset of historical newspaper pages (for which ground truth was created) with regard to general text accuracy as well as layout-related factors which have an impact on how the material can be used in specific use scenarios. Specific types of errors are examined and evaluated in order to identify possible improvements related to the employed document image analysis and recognition methods. Moreover, alternatives to the standard production workflow are assessed to determine future directions and give advice on best practice related to OCR projects. © 2015 ACM.","2015","2022-02-15 00:10:55","2023-08-21 17:52:22","2015-08-22","39-46","","","","","","","","","","","Association for Computing Machinery","","English","","","Scopus","","","","Journal Abbreviation: ACM Int. Conf. Proc. Ser.","","/home/ebn/pCloudDrive/zot_library/undefined/2015/pletschacheret al_2015_europeana newspapers ocr workflow evaluation.pdf; /home/ebn/Zotero/storage/8BZCEDCV/2809544.html","","Document image analysis and recognition; europeana; evaluation; Evaluation results; HEMDIG - PROJETOS SIMILARES; HEMDIG - SCOPUS; HEMDIG FRAMEWORK; Historical documents; Historical newspapers; History; Image processing; Large scale productions; newspapers; Newspapers; Newsprint; OCR; Optical character recognition; Performance evaluation; Production workflows; SCOPUS; workflow","","","","","FamilySearch","","","","","","","","","","","","","","","","","","","","","","","","","","","3rd International Workshop on Historical Document Imaging and Processing, HIP 2015","","","","","","","","","","","","","","",""
"84IVZ9G9","journalArticle","2021","Hechl, Stefan; Langlais, Pierre-Carl; Marjanen, Jani; Oberbichler, Sarah; Pfanzelter, Eva","Digital interfaces of historical newspapers: opportunities, restrictions and recommendations","Journal of Data Mining & Digital Humanities","","2416-5999","10.46298/jdmdh.6121","https://jdmdh.episciences.org/7069/pdf","Many libraries offer free access to digitised historical newspapers via user interfaces. After an initial period of search and filter options as the only features, the availability of more advanced tools and the desire for more options among users has ushered in a period of interface development. However, this raises a number of open questions and challenges. For example, how can we provide interfaces for different user groups? What tools should be available on interfaces and how can we avoid too much complexity? What tools are helpful and how can we improve usability? This paper will not provide definite answers to these questions, but it gives an insight into the difficulties, challenges and risks of using interfaces to investigate historical newspapers. More importantly, it provides ideas and recommendations for the improvement of user interfaces and digital tools.","2021","2021-06-22 02:41:11","2022-11-04 18:13:51","2022-03-19 01:45:58","","","jdmdh:6121","HistoInformatics","","","Digital interfaces of historical newspapers","","","","","","","en","","","","","jdmdh.episciences.org","","Publisher: Episciences.org","","/home/ebn/pCloudDrive/zot_library/Journal of Data Mining & Digital Humanities/2021/hechlet al_2021_digital interfaces of historical newspapers.pdf; /home/ebn/pCloudDrive/zot_library/undefined/2020/pfanzelter_et_al_2020_digital_interfaces_of_historical_newspapers.pdf; ; /home/ebn/Zotero/storage/Z4WVIYLL/7069.html","https://www.researchgate.net/publication/341926999_Digital_interfaces_of_historical_newspapers_opportunities_restrictions_and_recommendations","HEMDIG FRAMEWORK; newspapers; GUI; topic modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IRELNNYH","journalArticle","2021","Kaplan, Frédéric; Oliveira, Sofia Ares; Clematide, Simon; Ehrmann, Maud; Barman, Raphaël","Combining visual and textual features for semantic segmentation of historical newspapers","Journal of Data Mining & Digital Humanities","","","10.46298/jdmdh.6107","https://jdmdh.episciences.org/7097/pdf","The massive amounts of digitized historical documents acquired over the last decades naturally lend themselves to automatic processing and exploration. Research work seeking to automatically process facsimiles and extract information thereby are multiplying with, as a first essential step, document layout analysis. If the identification and categorization of segments of interest in document images have seen significant progress over the last years thanks to deep learning techniques, many challenges remain with, among others, the use of finer-grained segmentation typologies and the consideration of complex, heterogeneous documents such as historical newspapers. Besides, most approaches consider visual features only, ignoring textual signal. In this context, we introduce a multimodal approach for the semantic segmentation of historical newspapers that combines visual and textual features. Based on a series of experiments on diachronic Swiss and Luxembourgish newspapers, we investigate, among others, the predictive power of visual and textual features and their capacity to generalize across time and sources. Results show consistent improvement of multimodal models in comparison to a strong visual baseline, as well as better robustness to high material variance.","2021","2022-02-13 16:48:21","2022-11-04 18:11:57","2022-03-19 01:44:11","","","","HistoInformatics","","","","","","","","","","en","","","","","jdmdh.episciences.org","","Publisher: Episciences.org","","/home/ebn/pCloudDrive/zot_library/Journal of Data Mining & Digital Humanities/2021/kaplanet al_2021_combining visual and textual features for semantic2.pdf; /home/ebn/Zotero/storage/GKPJNTIU/7097.html","","HEMDIG FRAMEWORK; newspapers; OCR; deep learning; image segmentation; semantic segmentation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESNHKI5D","journalArticle","2017","Moreux, Jean-Philippe","Innovative Approaches of Historical Newspapers: Data Mining, Data Visualization, Semantic Enrichment","","","","","","","2017","2022-02-13 16:45:30","2022-11-04 11:13:08","","","","","","","","Innovative Approaches of Historical Newspapers","","","","","","","","","","","","Google Scholar","","","","/home/ebn/pCloudDrive/zot_library/undefined/2017/moreux_2017_innovative approaches of historical newspapers.pdf; /home/ebn/Zotero/storage/V4CDUHUG/2076.html","","europeana; HEMDIG - PROJETOS SIMILARES; HEMDIG FRAMEWORK; newspapers; OLR; ALTO XML; NER; data visualisation; data mining","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GWIGIKQ","bookSection","2021","Hamdi, Ahmed; Linhares Pontes, Elvys; Boros, Emanuela; Nguyen, Thi Tuyet Hai; Hackl, Günter; Moreno, Jose G.; Doucet, Antoine","A Multilingual Dataset for Named Entity Recognition, Entity Linking and Stance Detection in Historical Newspapers","Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval","978-1-4503-8037-9","","","https://doi.org/10.1145/3404835.3463255","Named entity processing over historical texts is more and more being used due to the massive documents and archives being stored in digital libraries. However, due to the poor annotated resources of historical nature, information extraction performances fall behind those on contemporary texts. In this paper, we introduce the development of the NewsEye resource, a multilingual dataset for named entity recognition and linking enriched with stances towards named entities. The dataset is comprised of diachronic historical newspaper material published between 1850 and 1950 in French, German, Finnish, and Swedish. Such historical resource is essential in the context of developing and evaluating named entity processing systems. It evenly allows enhancing the performances of existing approaches on historical documents which enables adequate and efficient semantic indexing of historical documents on digital cultural heritage collections.","2021-07-11","2022-03-19 01:49:24","2022-11-04 11:13:08","2022-03-18","2328–2334","","","","","","","","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/home/ebn/pCloudDrive/zot_library/Association for Computing Machinery/2021/hamdiet_al_2021_a_multilingual_dataset_for_named_entity_recognition,_entity.pdf","","HEMDIG - PROJETOS SIMILARES; HEMDIG FRAMEWORK; newspapers; NER; newseye","named entity recognition; datasets; diachronic historical newspapers; entity linking; multilingual; stance detection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QQFJA92","journalArticle","2020","Ehrmann, Maud; Romanello, Matteo; Clematide, Simon; Ströbel, Phillip; Barman, Raphaël","Language resources for historical newspapers: the impresso collection","","","","","","","2020","2022-02-15 00:10:55","2022-11-04 11:13:08","","","","","","","","Language resources for historical newspapers","","","","","","","","","","","","Google Scholar","","Publisher: European Language Resources Association (ELRA)","","/home/ebn/pCloudDrive/zot_library/undefined/2020/ehrmannet al_2020_language resources for historical newspapers.pdf; /home/ebn/Zotero/storage/5PPQRQ5U/191270.html","","HEMDIG - PROJETOS SIMILARES; HEMDIG FRAMEWORK; impresso project; multilingual; NER; newspapers; OCR; semantic annotation; topic modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
