"High level Criteria"	"Property family"	"Property"	"Hemeroteca Digital Brasileira (HDB)"	"Biblioteca Nacional Digital de Portugal (BND-PT)"	"Hemeroteca Digital de Lisboa (HDL)"
"Interfaces"	"interface"	"URL"	"http://memoria.bn.br/hdb/"	"https://bndigital.bnportugal.gov.pt/"	"https://hemerotecadigital.cm-lisboa.pt/"
"Interfaces"	"interface"	"Target area"	"BR"	"PT"	"PT"
"Interfaces"	"interface"	"Creator"	"Fundação Biblioteca Nacional"	"Biblioteca Nacional de Portugal"	"Bibliotecas de Lisboa"
"Interfaces"	"interface"	"Purpose and scope"	"Coleção de periódicos digitalizados do acervo da Fundação biblioteca Nacional do Brasil"	"Acervo digitalizado da Biblioteca Nacional de Portugal"	"Periódicos, legislação obras raras digitalizadas da hemeroteca municipal de Lisboa, Portugal"
"Interfaces"	"interface"	"Approximate date of creation"	2012	"u"	"u"
"Interfaces"	"interface"	"Interface is multilingual"	"n"	"n"	"n"
"Interfaces"	"interface"	"Access model"	"free"	"free"	"free"
"Interfaces"	"interface"	"Interface provider"	"Private (DocPro)"	"Instituição Pública"	"Instituição Pública"
"Interfaces"	"newspaper collection"	"Languages of the collections"	"pt"	"pt"	"pt"
"Interfaces"	"newspaper collection"	"New titles continuously added"	"y"	"y"	"u"
"Source criticism"	"newspaper collection"	"Newspaper date range"	"1740-2023"	"1640-1997"	"1715-1993"
"Source criticism"	"newspaper collection"	"Number of newspaper titles"	7464	1602	349
"Source criticism"	"newspaper collection"	"Number of issues"	"u"	"u"	"u"
"Source criticism"	"newspaper collection"	"Number of pages"	"u"	"u"	"u"
"Source criticism"	"newspaper collection"	"Number of articles"	"u"	"u"	"u"
"Source criticism"	"newspaper collection"	"Indication of the archive the issue was taken from"	"y"	"y"	"y"
"Source criticism"	"newspaper metadata"	"Alternative titles"	"n"	"y"	"y"
"Source criticism"	"newspaper metadata"	"Place of publication"	"y"	"y"	"y"
