"Property family"	"Property"	"Hemeroteca Digital Brasileira (HDB)"	"Biblioteca Nacional Digital de Portugal (BND-PT)"	"Hemeroteca Digital de Lisboa (HDL)"
"interface"	"URL"	"http://memoria.bn.br/hdb/"	"https://bndigital.bnportugal.gov.pt/"	"https://hemerotecadigital.cm-lisboa.pt/"
"interface"	"Target area"	"BR"	"PT"	"PT"
"interface"	"Creator"	"Fundação Biblioteca Nacional"	"Biblioteca Nacional de Portugal"	"Bibliotecas de Lisboa"
"interface"	"Purpose and scope"	"Coleção de periódicos digitalizados do acervo da Fundação biblioteca Nacional do Brasil"	"Acervo digitalizado da Biblioteca Nacional de Portugal"	"Periódicos, legislação obras raras digitalizadas da hemeroteca municipal de Lisboa, Portugal"
"interface"	"Approximate date of creation"	2012	"u"	"u"
"interface"	"Interface is multilingual"	"n"	"n"	"n"
"interface"	"Access model"	"free"	"free"	"free"
"interface"	"Interface provider"	"Private (DocPro)"	"Instituição Pública"	"Instituição Pública"
"newspaper collection"	"Newspaper date range"	"1740-2023"	"1640-1997"	"1715-1993"
"newspaper collection"	"Number of newspaper titles"	7464	1602	349
"newspaper collection"	"Number of issues"	"u"	"u"	"u"
"newspaper collection"	"Number of pages"	"u"	"u"	"u"
"newspaper collection"	"Number of articles"	"u"	"u"	"u"
"newspaper collection"	"Indication of the archive the issue was taken from"	"y"	"y"	"y"
"newspaper collection"	"New titles continuously added"	"y"	"y"	"u"
"newspaper collection"	"Languages of the collections"	"pt"	"pt"	"pt"
"newspaper metadata"	"Alternative titles"	"n"	"y"	"y"
"newspaper metadata"	"Place of publication"	"y"	"y"	"y"
"newspaper metadata"	"Geographic coverage"	"y"	"n"	"n"
"newspaper metadata"	"Publisher"	"n"	"y"	"y"
"newspaper metadata"	"Date range"	"y"	"y"	"y"
"newspaper metadata"	"Periodicity"	"n"	"y"	"n"
"newspaper metadata"	"ISSN, OCLC, LCCN"	"n"	"n"	"n"
"newspaper metadata"	"External links"	"n"	"y"	"y"
"newspaper metadata"	"Historical description"	"n"	"n"	"y"
"newspaper metadata"	"Language"	"n"	"y"	"n"
"newspaper metadata"	"Calendar view of issues"	"n"	"y"	"y"
"newspaper metadata"	"Indication of archive holder"	"y"	"y"	"y"
"browsing"	"By date"	"y"	"y"	"y"
"browsing"	"By title"	"y"	"y"	"y"
"browsing"	"By place of publication"	"y"	"y"	"y"
"browsing"	"By user tag"	"n"	"n"	"n"
"browsing"	"By newspaper thematic (metadata)"	"n"	"y"	"y"
"search"	"Keyword search"	"y"	"y"	"n"
"search"	"Query autocomplete"	"n"	"y"	"n"
"search"	"Boolean operators"	"n"	"y"	"n"
"search"	"Phrase search"	"y"	"y"	"n"
"search"	"Fuzzy search"	"n"	"n"	"n"
"search"	"Wild card"	"y"	"y"	"n"
"search"	"Proximity search"	"n"	"n"	"n"
"search"	"Limit by date range"	"y"	"y"	"n"
"search"	"Limit by language"	"n"	"y"	"n"
"search"	"Limit by NP title(s)"	"y"	"y"	"n"
"search"	"Limit by place of publication"	"y"	"y"	"n"
"search"	"Limit by NP thematic (from metadata)"	"n"	"y"	"n"
"search"	"Limit by NP segments"	"n"	"n"	"n"
"search"	"Limit by article category"	"n"	"n"	"n"
"search"	"Limit by article length"	"n"	"n"	"n"
"search"	"Limit by archival holder"	"n"	"n"	"n"
"search"	"Limit by license"	"n"	"y"	"n"
"search"	"Query suggestion"	"n"	"n"	"n"
"search"	"Search by NE"	"n"	"n"	"n"
"search"	"Other"	"Busca por palavras, frases no corpo do texto"	"A busca no corpo do texto não retorna lista dos resultados no corpo do texto, mas sim as edições"	"-"
"result display"	"Distribution over time"	"y"	"y"	"n"
"result display"	"Distribution by publication place"	"n"	"n"	"n"
"result display"	"Distribution by NP"	"y"	"y"	"y"
"result display"	"Distribution by place names in articles"	"n"	"n"	"n"
"result display"	"Snippet preview"	"n"	"y"	"n"
"result display"	"Search highlight in facsimiles"	"y"	"n"	"n"
"result display"	"Search highlight in text"	"n"	"n"	"n"
"result display"	"Ngrams"	"n"	"n"	"n"
"result sorting"	"By relevance"	"n"	"y"	"n"
"result sorting"	"By date"	"y"	"y"	"n"
"result sorting"	"By NP title"	"y"	"y"	"n"
"result sorting"	"By article title"	"n"	"n"	"n"
"result sorting"	"By content type"	"n"	"n"	"n"
"result sorting"	"By online pub. date"	"n"	"y"	"n"
"result sorting"	"By author"	"n"	"n"	"n"
"result sorting"	"By quality of text"	"n"	"n"	"n"
"result sorting"	"By language"	"n"	"n"	"n"
"result sorting"	"By popularity"	"n"	"n"	"n"
