"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3T5TK9FL","journalArticle","2021","Menhour, H.; Şahin, H.B.; Sarıkaya, R.N.; Aktaş, M.; Sağlam, R.; Ekinci, E.; Eken, S.","Searchable Turkish OCRed historical newspaper collection 1928–1942","Journal of Information Science","","0165-5515","10.1177/01655515211000642","","The newspaper emerged as a distinct cultural form in early 17th-century Europe. It is bound up with the early modern period of history. Historical newspapers are of utmost importance to nations and its people, and researchers from different disciplines rely on these papers to improve our understanding of the past. In pursuit of satisfying this need, Istanbul University Head Office of Library and Documentation provides access to a big database of scanned historical newspapers. To take it another step further and make the documents more accessible, we need to run optical character recognition (OCR) and named entity recognition (NER) tasks on the whole database and index the results to allow for full-text search mechanism. We design and implement a system encompassing the whole pipeline starting from scrapping the dataset from the original website to providing a graphical user interface to run search queries, and it manages to do that successfully. Proposed system provides to search people, culture and security-related keywords and to visualise them. © The Author(s) 2021.","2021","2022-11-04 12:01:34","2023-09-01 16:53:48","","335-347","","2","49","","J Inf Sci","","","","","","","","English","","","Scopus","WOS:000634018700001","","","Publisher: SAGE Publications Ltd","","","","Data journalism; Design and implements; full-text search; Full-text search; Graphical user interfaces; HEMDIG - SCOPUS; HEMDIG - WOS; historical newspapers; Historical newspapers; Istanbul; microservices; named entity recognition; Named entity recognition; NAMED ENTITY RECOGNITION; Natural language processing systems; Newsprint; Office buildings; optical character recognition; Optical character recognition; Optical character recognition (OCR); SCOPUS; Search queries; SEGMENTATION; Turkishs; visualisation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YSUCCEIW","conferencePaper","2016","Neudecker, C.; Antonacopoulos, A.","Making Europe's Historical Newspapers Searchable","Proc. - IAPR Int. Workshop Doc. Anal. Syst., DAS","9781509017928 (ISBN)","","10.1109/DAS.2016.83","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979556437&doi=10.1109%2fDAS.2016.83&partnerID=40&md5=8f07aa6473046bc026f95a822340502c","This paper provides a rare glimpse into the overall approach for the refinement, i.e. the enrichment of scanned historical newspapers with text and layout recognition, in the Europeana Newspapers project. Within three years, the project processed more than 10 million pages of historical newspapers from 12 national and major libraries to produce the largest open access and fully searchable text collection of digital historical newspapers in Europe. In this, a wide variety of legal, logistical, technical and other challenges were encountered. After introducing the background issues in newspaper digitization in Europe, the paper discusses the technical aspects of refinement in greater detail. It explains what decisions were taken in the design of the large-scale processing workflow to address these challenges, what were the results produced and what were identified as best practices. © 2016 IEEE.","2016","2022-11-04 12:02:03","2023-09-01 16:57:42","2016-04-11","405-410","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","Journal Abbreviation: Proc. - IAPR Int. Workshop Doc. Anal. Syst., DAS","","/home/ebn/pCloudDrive/zot_library/IEEE/2016/neudecker_antonacopoulos_2016_making europe's historical newspapers searchable.pdf; /home/ebn/Zotero/storage/L8533WTD/7490152.html","","Best practices; Character recognition; digital libraries; Digital libraries; Digitisation; Electronic publishing; europeana; HEMDIG - PROJETOS SIMILARES; HEMDIG - SCOPUS; HEMDIG - WOS; HEMDIG FRAMEWORK; historical newspapers; Historical newspapers; large-scale digitisation; Large-scale processing; layout analysis; Layout analysis; newspapers; Newsprint; OCR; OLR; Open Access; optical character recognition; Optical character recognition; SCOPUS; Technical aspects; Text collection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12th IAPR International Workshop on Document Analysis Systems, DAS 2016","","","","","","","","","","","","","","",""
"JJ9CX8BM","conferencePaper","2010","Kae, A.; Huang, G.; Doersch, C.; Learned-Miller, E.","Improving state-of-the-art OCR through high-precision document-specific modeling","Proc IEEE Comput Soc Conf Comput Vision Pattern Recognit","10636919 (ISSN); 9781424469840 (ISBN)","","10.1109/CVPR.2010.5539867","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955987982&doi=10.1109%2fCVPR.2010.5539867&partnerID=40&md5=ae0c419734cdac7692fc9fcb27b380ea","Optical character recognition (OCR) remains a difficult problem for noisy documents or documents not scanned at high resolution. Many current approaches rely on stored font models that are vulnerable to cases in which the document is noisy or is written in a font dissimilar to the stored fonts. We address these problems by learning character models directly from the document itself, rather than using pre-stored font models. This method has had some success in the past, but we are able to achieve substantial improvement in error reduction through a novel method for creating nearly error-free document-specific training data and building character appearance models from this data. In particular, we first use the state-of-the-art OCR system Tesseract to produce an initial translation. Then, our method identifies a subset of words that we have high confidence have been recognized correctly and uses this subset to bootstrap document-specific character models. We present theoretical justification that a word in the selected subset is very unlikely to be incorrectly recognized, and empirical results on a data set of difficult historical newspaper scans demonstrating that we make only two errors in 56 documents. We then relax the theoretical constraint in order to create a larger training set, and using document-specific character models generated from this data, we are able to reduce the error over properly segmented characters by 34.1% overall from the initial Tesseract translation. ©2010 IEEE.","2010","2022-11-04 12:02:20","2023-09-01 16:58:33","2010-06-13","1935-1942","","","","","","","","","","","","San Francisco, CA","English","","","Scopus","","","","Journal Abbreviation: Proc IEEE Comput Soc Conf Comput Vision Pattern Recognit","","","","Appearance models; Character models; Computational methods; Computer vision; Data sets; Empirical results; Error reduction; HEMDIG - SCOPUS; HEMDIG - WOS; High confidence; High resolution; High-precision; Historical newspapers; Novel methods; Optical character recognition; SCOPUS; Security of data; Tesseract; Training data; Training sets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010 IEEE Computer Society Conference on Computer Vision and Pattern Recognition, CVPR 2010","","","","","","","","","","","","","","",""
"YGXPG86C","conferencePaper","2011","Terasawa, K.; Shima, T.; Kawashima, T.; TC10 (Graph. Recogn.) TC11 (Read. Syst.) (IAPR); Chinese Academy of Sciences; NSFC; FUJITSU; Hanvon Technology","A fast appearance-based full-text search method for historical newspaper images","Proc. Int. Conf. Doc. Anal. Recognit.","15205363 (ISSN); 9780769545202 (ISBN)","","10.1109/ICDAR.2011.277","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82355169321&doi=10.1109%2fICDAR.2011.277&partnerID=40&md5=f4fd6408346ced1de800b9ad01bb6b3c","This paper presents a fast appearance-based full-text search method for historical newspaper images. Since historical newspapers differ from recent newspapers in image quality, type fonts and language usages, optical character recognition (OCR) does not provide sufficient quality. Instead of OCR approach, we adopted appearance-based approach, that means we matched character to character with its shapes. Assuming proper character segmentation and proper feature description, full-text search problem is reduced to sequence matching problem of feature vector. To increase computational efficiency, we adopted pseudo-code expression called LSPC, which is a compact sketch of feature vector while retaining a good deal of its information. Experimental result showed that our method can retrieve a query string from a text of over eight million characters within a second. In addition, we predict that more sophisticated algorithm could be designed for LSPC. As an example, we established the Extended Boyer-Moore-Horspool algorithm that can reduce the computational cost further especially when the query string becomes longer. © 2011 IEEE.","2011","2022-11-04 12:02:17","2023-09-01 16:58:26","2011-09-18","1379-1383","","","","","","","","","","","","Beijing","English","","","Scopus","","","","Journal Abbreviation: Proc. Int. Conf. Doc. Anal. Recognit.","","","","Algorithms; Appearance based; Boyer-Moore-Horspool algorithm; Character segmentation; Codes (symbols); Computational costs; Computational efficiency; Feature description; Feature vectors; Full-text search; HEMDIG - SCOPUS; HEMDIG - WOS; historical document images; Historical documents; Historical newspapers; Image matching; Image quality; Locality-Sensitive Pseudo-Code; Newsprint; Optical character recognition; Pseudo-code; Query string; SCOPUS; Sequence matching; string matching; String matching; word spotting; Word Spotting","","","","","TC10 (Graph. Recogn.) TC11 (Read. Syst.) (IAPR); Chinese Academy of Sciences; NSFC; FUJITSU; Hanvon Technology","","","","","","","","","","","","","","","","","","","","","","","","","","","11th International Conference on Document Analysis and Recognition, ICDAR 2011","","","","","","","","","","","","","","",""
"IV52NZKV","journalArticle","2012","Huang, G.B.; Kae, A.; Doersch, C.; Learned-Miller, E.","Bounding the probability of error for high precision optical character recognition","Journal of Machine Learning Research","","15324435 (ISSN)","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857846731&partnerID=40&md5=dde2c8ca41053322491950ffc6c95211","We consider a model for which it is important, early in processing, to estimate some variables with high precision, but perhaps at relatively low recall. If some variables can be identified with near certainty, they can be conditioned upon, allowing further inference to be done efficiently. Specifically, we consider optical character recognition (OCR) systems that can be bootstrapped by identifying a subset of correctly translated document words with very high precision. This ""clean set"" is subsequently used as document-specific training data. While OCR systems produce confidence measures for the identity of each letter or word, thresholding these values still produces a significant number of errors. We introduce a novel technique for identifying a set of correct words with very high precision. Rather than estimating posterior probabilities, we bound the probability that any given word is incorrect using an approximate worst case analysis. We give empirical results on a data set of difficult historical newspaper scans, demonstrating that our method for identifying correct words makes only two errors in 56 documents. Using document-specific character models generated from this data, we are able to reduce the error over properly segmented characters by 34.1% from an initial OCR system's translation.1 © 2012 Gary B. Huang, Andrew Kae, Carl Doersch and Erik Learned-Miller.","2012","2022-11-04 12:02:16","2023-09-01 16:58:24","","363-387","","","13","","J. Mach. Learn. Res.","","","","","","","","English","","","Scopus","","","","","","","","Character models; computer vision; Computer vision; Confidence Measure; Data sets; document-specific modeling; Document-specific modeling; Errors; HEMDIG - SCOPUS; HEMDIG - WOS; High precision; Historical newspapers; Novel techniques; optical character recognition; Optical character recognition; Posterior probability; Probability; probability bounding; Probability bounding; Probability of errors; SCOPUS; Thresholding; Training data; Worst-case analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4BBW8KG5","conferencePaper","2012","Palfray, T.; Nicolas, S.; Paquet, T.; Tranouez, P.; Society for Imaging Science and Technology (IS and T); MAM-A; Nationalmuseet","""PlaIR"": A system to provide full access to digitized newspaper archives","Arch. - Preserv. Strateg. Imaging Technol. Cult. Herit. Inst. Mem. Organ. - Final Program Proc.","9780892083008 (ISBN)","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876739050&partnerID=40&md5=58f35f22cb351eca4adb61ada6711027","This paper presents a platform dedicated to the analysis and the online consultation of historical newspaper archives. This platform has been designed to provide a user experience as intuitive as possible by using mature open source tools. All the features are implemented thanks to the Spring framework. To meet this goal, we created a system to display tiled high-resolution images operating without a plug-in but based on an open source solution called IIPImage. The platform also allows for full-text searches thanks to the Java search library Apache Lucene and displays the results in the form of newspaper articles. In addition, we established collaborative features to provide the users with the ability to correct the content automatically generated by our document processing workflow and accessed through the browsing platform. The system is able to store all the corrections of the users, by using the couple Hibernate/MySQL. The aim is to enable continuous improvement of both the content quality and the search accuracy, by exploiting the ability of the users to recognize significant errors, in order to enhance the digital objects representing the newspaper issues. The proposed system is designed to generate metadata describing the physical layout, but also the logical structure of newspaper documents. Our article segmentation analyses a newspaper issue and recognizes articles, even if they straddle more than one page or if they spread in a complex structure. The workflow can also consider as input data, the results of optical character recognition (OCR) engines in order to provide a textual indexation of the segmented articles. By using this system, we want to create a true and representative digital object using standard formats (i.e. METS / ALTO) and containing the logical description of the content, making easier reading and understanding by the users. ©2012 Society for Imaging Science and Technology.","2012","2022-11-04 12:02:15","2023-09-01 16:58:22","2012-06-12","48-53","","","","","","","","","","","","Copenhagen","English","","","Scopus","","","","Journal Abbreviation: Arch. - Preserv. Strateg. Imaging Technol. Cult. Herit. Inst. Mem. Organ. - Final Program Proc.","","","","Automatically generated; Continuous improvements; Document-processing; HEMDIG - SCOPUS; HEMDIG - WOS; High resolution image; Historical newspapers; Imaging techniques; Metadata; Newsprint; Open systems; Open-source solutions; Optical character recognition; Optical character recognition engines; SCOPUS; Segmentation analysis; Societies and institutions","","","","","Society for Imaging Science and Technology (IS and T); MAM-A; Nationalmuseet","","","","","","","","","","","","","","","","","","","","","","","","","","","Archiving 2012 - Preservation Strategies and Imaging Technologies for Cultural Heritage Institutions and Memory Organizations","","","","","","","","","","","","","","",""
"SISWK2ZQ","conferencePaper","2011","Konya, I.; Eickeler, S.; Seibert, C.; TC10 (Graph. Recogn.) TC11 (Read. Syst.) (IAPR); Chinese Academy of Sciences; NSFC; FUJITSU; Hanvon Technology","Character enhancement for historical newspapers printed using hot metal typesetting","Proc. Int. Conf. Doc. Anal. Recognit.","15205363 (ISSN); 9780769545202 (ISBN)","","10.1109/ICDAR.2011.190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82355168372&doi=10.1109%2fICDAR.2011.190&partnerID=40&md5=bf1ed4cf1a0ca788232b9e7813020465","We propose a new method for an effective removal of the printing artifacts occurring in historical newspapers which are caused by problems in the hot metal typesetting, a widely used printing technique in the late 19th and early 20th century. Such artifacts typically appear as thin lines between single characters or glyphs and are in most cases connected to one of the neighboring characters. The quality of the optical character recognition (OCR) is heavily influenced by this type of printing artifacts. The proposed method is based on the detection of (near) vertical segments by means of directional single-connected chains (DSCC). In order to allow the robust processing of complex decorative fonts such as Fraktur, a set of rules is introduced. This allows us to successfully process prints exhibiting artifacts with a stroke width even higher than that of most thin characters stems. We evaluate our approach on a dataset consisting of old newspaper excerpts printed using Fraktur fonts. The recognition results on the enhanced images using two independent OCR engines (ABBYY Fine Reader and Tesseract) show significant improvements over the originals. © 2011 IEEE.","2011","2022-11-04 12:02:18","2023-09-01 16:58:30","2011-09-18","936-940","","","","","","","","","","","","Beijing","English","","","Scopus","","","","Journal Abbreviation: Proc. Int. Conf. Doc. Anal. Recognit.","","","","20th century; character enhancement; Data processing; Data sets; HEMDIG - SCOPUS; HEMDIG - WOS; historical documents; Historical documents; Historical newspapers; Hot metal; hot metal typesetting; Newsprint; OCR; OCR engines; Old newspapers; Optical character recognition; Printing techniques; retro-digitization; Robust processing; SCOPUS; Set of rules; Tesseract; Typesetting","","","","","TC10 (Graph. Recogn.) TC11 (Read. Syst.) (IAPR); Chinese Academy of Sciences; NSFC; FUJITSU; Hanvon Technology","","","","","","","","","","","","","","","","","","","","","","","","","","","11th International Conference on Document Analysis and Recognition, ICDAR 2011","","","","","","","","","","","","","","",""
"WEAN2Q6R","journalArticle","2016","Järvelin, A.; Keskustalo, H.; Sormunen, E.; Saastamoinen, M.; Kettunen, K.","Information retrieval from historical newspaper collections in highly inflectional languages: A query expansion approach","Journal of the Association for Information Science and Technology","","23301635 (ISSN)","10.1002/asi.23379","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995514103&doi=10.1002%2fasi.23379&partnerID=40&md5=12fa38eeabf192ce98b1158889c02054","The aim of the study was to test whether query expansion by approximate string matching methods is beneficial in retrieval from historical newspaper collections in a language rich with compounds and inflectional forms (Finnish). First, approximate string matching methods were used to generate lists of index words most similar to contemporary query terms in a digitized newspaper collection from the 1800s. Top index word variants were categorized to estimate the appropriate query expansion ranges in the retrieval test. Second, the effectiveness of approximate string matching methods, automatically generated inflectional forms, and their combinations were measured in a Cranfield-style test. Finally, a detailed topic-level analysis of test results was conducted. In the index of historical newspaper collection the occurrences of a word typically spread to many linguistic and historical variants along with optical character recognition (OCR) errors. All query expansion methods improved the baseline results. Extensive expansion of around 30 variants for each query word was required to achieve the highest performance improvement. Query expansion based on approximate string matching was superior to using the inflectional forms of the query words, showing that coverage of the different types of variation is more important than precision in handling one type of variation. © 2015 ASIS&T","2016","2022-11-04 12:02:01","2023-09-01 16:57:49","","2928-2946","","12","67","","J. Assoc. Soc. Inf. Sci. Technol.","","","","","","","","English","","","Scopus","","","","Publisher: John Wiley and Sons Inc.","","","","Approximate string matching; Automatic test pattern generation; Automatically generated; Baseline results; Character recognition; error; HEMDIG - SCOPUS; HEMDIG - WOS; Historical newspapers; human; human experiment; information retrieval; Information retrieval; language; MANAGEMENT; N-GRAMS; Newsprint; Optical character recognition; Optical character recognition (OCR); publication; query expansion; Query expansion; query processing; Query processing; Query terms; Query words; recognition; SCOPUS; TEXT RETRIEVAL; WORDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99JZVV94","conferencePaper","2017","Xu, S.; Smith, D.; Elsevier; et al.; IEEE; Libraries Bloomington; University of Toronto Faculty of Information; University of Toronto Libraries","Retrieving and Combining Repeated Passages to Improve OCR","Proc. ACM IEEE Joint Conf. Digit. Libr.","15525996 (ISSN); 9781538638613 (ISBN)","","10.1109/JCDL.2017.7991587","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028025577&doi=10.1109%2fJCDL.2017.7991587&partnerID=40&md5=f9f4917706b39d9661899847fb81cc67","We present a novel approach to improve the output of optical character recognition (OCR) systems by first detecting duplicate passages in their output and then performing consensus decoding combined with a language model. This approach is orthogonal to, and may be combined with, previously proposed methods for combining the output of different OCR systems on the same image or the output of the same OCR system on differently processed images of the same text. It may also be combined with methods to estimate the parameters of a noisy channel model of OCR errors. Additionally, the current method generalizes previous proposals for a simple majority- vote combination of known duplicated texts. On a corpus of historical newspapers, an annotated set of clusters has a baseline word error rate (WER) of 33%. A majority vote procedure reaches 23% on passages where one or more duplicates were found, and consensus decoding combined with a language model achieves 18% WER. In a separate experiment, newspapers were aligned to very widely reprinted texts such as State of the Union speeches, producing clusters with up to 58 witnesses. Beyond 20 witnesses, majority vote outperforms language model rescoring, though the gap between them is much less in this experiment. © 2017 IEEE.","2017","2022-11-04 12:01:56","2023-09-01 16:57:33","2017-06-19","","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","Journal Abbreviation: Proc. ACM IEEE Joint Conf. Digit. Libr.","","","","Character recognition; Computational linguistics; Decoding; Digital libraries; HEMDIG - SCOPUS; HEMDIG - WOS; Historical newspapers; Language model; Majority vote; Newsprint; Noisy channel models; Optical character recognition; Optical character recognition (OCR); Processed images; SCOPUS; Simple majority; Speech recognition; Word error rate","","","","","Elsevier; et al.; IEEE; Libraries Bloomington; University of Toronto Faculty of Information; University of Toronto Libraries","","","","","","","","","","","","","","","","","","","","","","","","","","","17th ACM/IEEE Joint Conference on Digital Libraries, JCDL 2017","","","","","","","","","","","","","","",""
"SC9HLVKY","conferencePaper","2020","Ito, S.; Terasawa, K.","Extraction of distinctive keywords and articles from untranscribed historical newspaper images","Proc SPIE Int Soc Opt Eng","0277786X (ISSN); 9781510638358 (ISBN)","","10.1117/12.2566612","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086628923&doi=10.1117%2f12.2566612&partnerID=40&md5=d5438781affedd4d6c417b7097acab60","This paper proposes a novel approach to extract distinctive keywords from historical newspaper images without using character recognition. We converted an image of the text block on an entire newspaper page into a sequence of codes based on discretization of the feature vectors, an approach that eliminated the errors introduced by optical character recognition (OCR). This conversion makes it possible to analyze untranscribed newspaper images by using text-processing methods. We examined the daily occurrence of every tri-gram string, and extracted strings with a dense appearance as distinctive keywords. In addition, we highlighted articles that contain distinctive keywords as distinctive articles. The proposed method was evaluated on an archive of Japanese newspaper images published in the 19th century, and the results were promising. © 2020 SPIE CCC.","2020","2022-11-04 12:01:42","2023-09-01 16:56:30","2020-01-05","","","","11515","","","","","","","","SPIE","","English","","","Scopus","","","","Journal Abbreviation: Proc SPIE Int Soc Opt Eng","","","","19th century; Discretizations; Feature vectors; HEMDIG - SCOPUS; HEMDIG - WOS; historical documents; Historical documents; historical newspapers; Historical newspapers; Imaging techniques; keyword extraction; Keyword extraction; Newsprint; Optical character recognition; Optical character recognition (OCR); SCOPUS; Text processing; Tri grams","","Lau P.Y.; Shobri M.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International Workshop on Advanced Imaging Technology, IWAIT 2020","","","","","","","","","","","","","","",""
