"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YSUCCEIW","conferencePaper","2016","Neudecker, C.; Antonacopoulos, A.","Making Europe's Historical Newspapers Searchable","Proc. - IAPR Int. Workshop Doc. Anal. Syst., DAS","9781509017928 (ISBN)","","10.1109/DAS.2016.83","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979556437&doi=10.1109%2fDAS.2016.83&partnerID=40&md5=8f07aa6473046bc026f95a822340502c","This paper provides a rare glimpse into the overall approach for the refinement, i.e. the enrichment of scanned historical newspapers with text and layout recognition, in the Europeana Newspapers project. Within three years, the project processed more than 10 million pages of historical newspapers from 12 national and major libraries to produce the largest open access and fully searchable text collection of digital historical newspapers in Europe. In this, a wide variety of legal, logistical, technical and other challenges were encountered. After introducing the background issues in newspaper digitization in Europe, the paper discusses the technical aspects of refinement in greater detail. It explains what decisions were taken in the design of the large-scale processing workflow to address these challenges, what were the results produced and what were identified as best practices. © 2016 IEEE.","2016","2022-11-04 12:02:03","2023-09-01 16:57:42","2016-04-11","405-410","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","Journal Abbreviation: Proc. - IAPR Int. Workshop Doc. Anal. Syst., DAS","","/home/ebn/pCloudDrive/zot_library/IEEE/2016/neudecker_antonacopoulos_2016_making europe's historical newspapers searchable.pdf; /home/ebn/Zotero/storage/L8533WTD/7490152.html","","Best practices; Character recognition; digital libraries; Digital libraries; Digitisation; Electronic publishing; europeana; HEMDIG - PROJETOS SIMILARES; HEMDIG - SCOPUS; HEMDIG - WOS; HEMDIG FRAMEWORK; historical newspapers; Historical newspapers; large-scale digitisation; Large-scale processing; layout analysis; Layout analysis; newspapers; Newsprint; OCR; OLR; Open Access; optical character recognition; Optical character recognition; SCOPUS; Technical aspects; Text collection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12th IAPR International Workshop on Document Analysis Systems, DAS 2016","","","","","","","","","","","","","","",""
"NEN5XSU9","journalArticle","1995","Watanabe, T.; Luo, Q.; Sugie, N.","Layout Recognition of Multi-Kinds of Table-Form Documents","IEEE Transactions on Pattern Analysis and Machine Intelligence","","01628828 (ISSN)","10.1109/34.385976","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029293805&doi=10.1109%2f34.385976&partnerID=40&md5=257ade263f09b1c8421e776680bbb8bc","Many approaches have reported that knowledge-based layout recognition methods are very successful to classify the meaningful data from document images automatically. However, these approaches are applicable to only the same kind of documents because they are based on the paradigm that specifies the structure definition information in advance so as to be able to analyze a particular class of documents intelligently. In this paper, we propose a method to recognize the layout structures of multi-kinds of table-form document images. For this purpose, we introduce a classification tree to manage the relationships among different classes of layout structures. Our recognition system has two modes: layout knowledge acquisition and layout structure recognition. In the layout knowledge acquisition mode, table-form document images are distinguished according to this classification tree and then the structure description trees which specify the logical structures of table-form documents are generated automatically. While, in the layout structure recognition mode, individual item fields in the table-form document images are extracted and classified successfully by searching the classification tree and interpreting the structure description tree. © 1995 IEEE","1995","2022-11-04 11:54:31","2023-09-01 16:59:20","","432-445","","4","17","","IEEE Trans. Pattern Anal. Mach. Intell.","","","","","","","","English","","","Scopus","","","","","","","","automatic acquisition of layout knowledge; AUTOMATIC ACQUISITION OF LAYOUT KNOWLEDGE; Automation; classification tree; Classification tree; CLASSIFICATION TREE; HEMDIG - SCOPUS; HEMDIG - WOS; Image understanding; Knowledge acquisition; Knowledge based systems; Layout knowledge; Layout recognition; Layout structures; Pattern recognition; recognition of document classes; RECOGNITION OF DOCUMENT CLASSES; recognition of layout structures; RECOGNITION OF LAYOUT STRUCTURES; Recognition paradigm for multi-kinds of table-form documents; RECOGNITION PARADIGM FOR MULTI-KINDS OF TABLE-FORM DOCUMENTS; SCOPUS; structure description tree; Structure description tree; STRUCTURE DESCRIPTION TREE; Table form documents; Trees (mathematics)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HDWGPWKU","conferencePaper","1996","Ratha, N.K.; Jain, A.K.; Rover, D.T.; IEEE","FPGA-based high performance page layout segmentation","Proc IEEE Great Lakes Symp VLSI","10661395 (ISSN)","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029720295&partnerID=40&md5=645f1050465b1f83193aa0c7aa4732c1","A page layout segmentation algorithm for locating text, background and halftone areas is presented. The algorithm has been implemented on Splash 2 - an FPGA-based array processor. The speed as determined by the Xilinx synthesis tools projects an application speed of 5 MHz. For documents of size 1.024 × 1.024 pixels, a significant speedup of two orders of magnitude compared to a SparcStation 20 has been achieved.","1996","2022-11-04 11:54:28","2023-09-01 16:59:16","1996-03-22","29-34","","","","","","","","","","","IEEE","Los Alamitos, CA, United States","English","","","Scopus","","","","Journal Abbreviation: Proc IEEE Great Lakes Symp VLSI","","","","Algorithms; Character recognition; Codes (symbols); Computer graphics; Design; HEMDIG - SCOPUS; HEMDIG - WOS; Image segmentation; Page layout segmentation; Program processors; SCOPUS","","","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the 1996 6th Great Lakes Symposium on VLSI, GLSVLSI","","","","","","","","","","","","","","",""
"7G8SFPWB","journalArticle","1996","Watanabe, T.; Luo, Q.","A multilayer recognition method for understanding table-form documents","International Journal of Imaging Systems and Technology","","08999457 (ISSN)","10.1002/(SICI)1098-1098(199624)7:4<279::AID-IMA3>3.0.CO;2-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030392123&doi=10.1002%2f%28SICI%291098-1098%28199624%297%3a4%3c279%3a%3aAID-IMA3%3e3.0.CO%3b2-5&partnerID=40&md5=8b89af04d86c1fd0653fb2258cc000cc","The items in documents are composed under the mutual relationship between geometrical layout structure and logical structure. Thus, currently used documents may be categorized roughly on the basis of the geometrical layout structure and logical structure. Table-form documents are strictly defined by the geometrical layout structure in comparison with the other documents. Since the item fields are, in general, surrounded with vertical and horizontal line segments, with a view to understanding table-form documents it is better to recognize these line segments first and then identify individual item fields on the basis of the recognition results. At least, in table-form documents the vertical and horizontal line segments take important roles in recognizing the layout structures. In this article, we address a multilayer recognition method for understanding table-form documents. Our recognition layers are composed hierarchically of four different recognition processes: document class recognition, layout recognition, item recognition, and character recognition. In addition, our recognition method is organized on the basis of the interaction paradigm that the lower-layer recognition process verifies objects interpreted in the upper-layer recognition process with its own knowledge and then decomposes the objects into more elementary and meaningful objects. Moreover, we discuss a knowledge representation method from the viewpoints of physical and logical representations, and syntactic and semantic information. We also show the knowledge that is useful in understanding table-form documents with respect to such a representation method. © 1996 John Wiley & Sons, inc.","1996","2022-11-04 11:54:27","2023-09-01 16:59:15","","279-288","","4","7","","Int J Imaging Syst Technol","","","","","","","","English","","","Scopus","","","","Publisher: John Wiley and Sons Inc.","","","","Character recognition; Data processing; Document class recognition; HEMDIG - SCOPUS; HEMDIG - WOS; Image understanding; Item recognition; Layout recognition; Multilayer recognition methods; Object recognition; Pattern recognition systems; SCOPUS; Table form documents","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2QIYIQDH","conferencePaper","2002","Tian, X.-D.; Guo, B.-L.; Hebei University; IEEE systems, Man and Cybernetics technical Comm. on Cybernetics","The layout recognition and reconstruction of Chinese documents based on gabor filter","Proc. of 2002 Internat. Conf. on Machine Learning and Cybernetics","0780375084 (ISBN)","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036929026&partnerID=40&md5=a6e02bfbe938e2dc41dca3235434b2e6","The layout recognition of Chinese documents is one of the most difficult pattern recognition problems, because it concerns a great number of classes and many variations. In this paper, an intelligent layout recognition and reconstruction system is put forward on the basis of the analysis of the present ways. The algorithms of the pivotal processing steps such as layout analysis and character font recognition are discussed. Especially, a 2-D Gabor filter is used in character font recognition to improve the adaptability to the Chinese document. Experiments have been made and some promising results have been drawn.","2002","2022-11-04 11:54:18","2023-09-01 16:58:58","2002-11-04","1707-1710","","","4","","","","","","","","","Beijing","English","","","Scopus","","","","Journal Abbreviation: Proc. of 2002 Internat. Conf. on Machine Learning and Cybernetics","","","","Algorithms; Artificial intelligence; Character font recognition; Character recognition; Chinese documents; Digital filters; digitalization of document; Digitalization of document; File organization; font recognition; Font recognition; Gabor filter; HEMDIG - SCOPUS; HEMDIG - WOS; IDENTIFICATION; Image compression; Image reconstruction; layout analysis; Layout analysis; layout recognition; Layout recognition; SCOPUS; Two dimensional","","","","","Hebei University; IEEE systems, Man and Cybernetics technical Comm. on Cybernetics","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of 2002 International Conference on Machine Learning and Cybernetics","","","","","","","","","","","","","","",""
"SA9Z745V","journalArticle","1997","Diwadkar, V.A.; McNamara, T.P.","Viewpoint dependence in scene recognition","Psychological Science","","09567976 (ISSN)","10.1111/j.1467-9280.1997.tb00442.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0347351067&doi=10.1111%2fj.1467-9280.1997.tb00442.x&partnerID=40&md5=f5c905d8dafacbe15c3f36c641c5214f","Two experiments investigated the viewpoint dependence of spatial memories. In Experiment 1, participants learned the locations of objects on a desktop from a single perspective and then took part in a recognition test; test scenes included familiar and novel views of the layout. Recognition latency was a linear function of the angular distance between a test view and the study view. In Experiment 2, participants studied a layout from a single view and then learned to recognize the layout from three additional training views. A final recognition test showed that the study view and the training views were represented in memory, and that latency was a linear function of the angular distance to the nearest study or training view. These results indicate that interobject spatial relations are encoded in a viewpoint-dependent manner, and that recognition of novel views requires normalization to the most similar representation in memory. These findings parallel recent results in visual object recognition.","1997","2022-11-04 11:54:25","2023-09-01 16:59:14","","302-307","","4","8","","Psychol. Sci.","","","","","","","","English","","","Scopus","","","","Publisher: Blackwell Publishing Ltd","","","","HEMDIG - SCOPUS; HEMDIG - WOS; MEMORY; MENTAL ROTATION; OBJECT RECOGNITION; REPRESENTATION; ROTATED OBJECTS; SCOPUS; VIEWS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DU6IH5QH","conferencePaper","1997","Mighlani, D.; Hennig, A.; Sherkat, N.; Whitrow, R.J.; IEEE","Intelligent hierarchical layout segmentation of document images on the basis of colour content","IEEE Reg 10 Annu Int Conf Proc TENCON","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031345878&partnerID=40&md5=7c771103f731fb57dda1fbbb72f158e9","This paper proposes a general methodology for automatic layout segmentation of documents. We first use colour histograms for extracting dominant colours of an image. This information is then used to hierarchically segment documents into regions of interest represented as polygons. If a region of interest is a picture the algorithm intelligently refrains from segmenting it further, while coloured regions that contain text are sub-segmented. The method has been tested on 50 real life documents, such as office letters, brochures, and technical papers, scanned at 100×100 dpi resolution. Regions are detected with about 68% reliability. A critical analysis of the results is presented.","1997","2022-11-04 11:54:24","2023-09-01 16:59:13","1997-12-02","191-194","","","1","","","","","","","","IEEE","Piscataway, NJ, United States","English","","","Scopus","","","","Journal Abbreviation: IEEE Reg 10 Annu Int Conf Proc TENCON","","","","Adaptive algorithms; Automatic layout segmentation; Color image processing; Feature extraction; HEMDIG - SCOPUS; HEMDIG - WOS; Image segmentation; Intelligent hierarchical layout segmentation; SCOPUS","","Deriche M.; Moody M.; Bennamoun M.","","","IEEE","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the 1997 IEEE TENCON Conference. Part 1 (of 2)","","","","","","","","","","","","","","",""
"RPQFN975","conferencePaper","1999","Watanabe, Toyohide; IS and T; SPIE","Guideline for specifying layout knowledge","Proc SPIE Int Soc Opt Eng","0277786X (ISSN)","","10.1117/12.335813","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032629301&doi=10.1117%2f12.335813&partnerID=40&md5=dc21383b9e23e0c596cf3f5573201fa4","Until today, many layout recognition/analysis methods have been proposed, but the guideline for knowledge representation applicable to documents which should be analyzed newly is not always discussed directly. This paper addresses such a subject. Generally, the documents can be categorized into the appropriate document types on the basis of the features of layout structures. Then, the processing mechanisms are assessed with a view to establishing the criteria for selecting the knowledge representation means appropriate to the document types. First, we define the physical layout structure and logical layout structure in addition to the traditional concepts of layout structure and logical structure. Second, we define the document type on the basis of the relationship between the physical layout structure and logical layout structure. Third, we make the knowledge representation means and the processing mechanisms clear under the document types. Finally, we show a criterion or guideline for knowledge representation means and processing mechanisms with respect to the logical layout structure and physical layout structure. For this discussion, our basic view is derived from our document understanding methods which we have developed for several different documents.","1999","2022-11-04 11:54:23","2023-09-01 16:59:08","1999-01-27","162-172","","","3651","","","","","","","","Society of Photo-Optical Instrumentation Engineers","Bellingham","English","","","Scopus","","","","Journal Abbreviation: Proc SPIE Int Soc Opt Eng","","","","bottom-up; Data structures; document class; document model; document type; HEMDIG - SCOPUS; HEMDIG - WOS; Image analysis; Knowledge representation; Layout knowledge representation; Layout structure; logical layout structure; Mathematical models; model-driven; Optical character recognition; physical layout structure; RECOGNITION; representation of layout knowledge; SCOPUS; TABLE-FORM DOCUMENTS; top-down","","","","","IS and T; SPIE","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the 1999 6th Annual Conference on Document Recognition and Retrieval VI","","","","","","","","","","","","","","",""
"B3Z7KSH6","journalArticle","1999","Watanabe, T.","Document analysis and recognition","IEICE Transactions on Information and Systems","","09168532 (ISSN)","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033350174&partnerID=40&md5=0fe0408d0f13fb6fea99c186ea7c00c2","SUMMARY The subject about document image understanding is to extract and classify individual data meaningfully from paper-based documents. Until today, many methods/approaches have been proposed with regard to recognition of various kinds of documents, various technical problems for extensions of OCR, and requirements for practical usages. Of course, though the technical research issues in the early stage are looked upon as complementary attacks for the traditional OCR which is dependent on character recognition techniques, the application ranges or related issues are widely investigated or should be established progressively. This paper addresses current topics about document image understanding from a technical point of view as a survey.","1999","2022-11-04 11:54:22","2023-09-01 16:59:09","","601-610","","3","E82-D","","IEICE Trans Inf Syst","","","","","","","","English","","","Scopus","","","","Publisher: Institute of Electronics, Information and Communication, Engineers, IEICE","","","","bottom-up; Bottom-up; Character recognition techniques; Data structures; Database systems; Document image understanding; document model; Document model; document types; Document types; Feature extraction; HEMDIG - SCOPUS; HEMDIG - WOS; Image analysis; Image understanding; Knowledge representation; layout recognition; Layout recognition; layout structure; Layout structure; logical structure; Logical structure; Optical character recognition; Paper based documents; SCOPUS; TABLE-FORM DOCUMENTS; top-down; Top-down","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R5H4J5KJ","conferencePaper","1999","Minguillon, Julia; Pujol, Jaume; Zeger, Kenneth; SPIE","Progressive classification scheme for document layout recognition","Proc SPIE Int Soc Opt Eng","0277786X (ISSN)","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033359405&partnerID=40&md5=094c3898ca3859bac8af0866375ef8ed","In this paper we present a progressive classification scheme for a document layout recognition system (background, text and images) using three stages. The first stage, preprocessing, extracts statistical information that may be used for background detection and removal. The second stage, a tree based classifier, uses a variable block size and a set of probabilistic rules to classify segmented blocks. When a block cannot be classified at a given block size because contains more than one class, it is split in four sub-blocks that are independently classified. The third stage, postprocessing, uses the label map generated in the second stage with a set of context rules to label unclassified blocks, trying also to solve some of the misclassification errors that may have been generated during the previous stage. The progressive scheme used in the second and third stages allows the user to stop the classification process at any block size, depending on his requirements. Experiments show that a progressive scheme combined with a set of postprocessing rules increases the percentage of correctly classified blocks and reduces the number of block computations.","1999","2022-11-04 11:54:21","2023-09-01 16:59:12","1999-07-21","241-251","","","3816","","","","","","","","Society of Photo-Optical Instrumentation Engineers","Bellingham, WA, United States","English","","","Scopus","","","","Journal Abbreviation: Proc SPIE Int Soc Opt Eng","","","","COMPRESSION; document analysis; Document analysis; Document layout recognition; HEMDIG - SCOPUS; HEMDIG - WOS; Image coding; Image compression; Image quality; Information analysis; Information retrieval systems; Pattern recognition systems; Probability; Progressive classification tree; progressive classification trees; SCOPUS; wavelet packets; Wavelet packets","","","","","SPIE","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the 1999 Mathematical Modeling, Bayesian Estimation, and Inverse Problems","","","","","","","","","","","","","","",""
