Título,Material,Cód. título,Números de chamada local,Objeto Digital
1ª Conferencia de Ensino Primario,Periódico,103140,,per888346
A Agricultura,Periódico,103059,,per891770
A Aguia,Periódico,102893,,per898619
A Bala,Periódico,102581,,per872610
A Biblioteca,Periódico,102919,,per068306
A Civilisação da Africa Portuguesa,Periódico,102894,,per898660
A Comarca,Periódico,103060,,per891827
A Epoca,Periódico,102973,,per194875
A Flecha,Periódico,102664,,per887072
A Gazeta esportiva,Periódico,103023,,per104140
A Illustracao luso-brasileira,Periódico,102895,,per890022
A Illustracao Portugueza,Periódico,102908,"P26,03,45",per890723
A Imprensa,Periódico,103061,,per887625
A Leitura gratuita,Periódico,102992,,per341193
A Locomotiva,Periódico,102578,,per230928
A Lyra da Mocidade,Periódico,102577,,per896268
A Noticia,Periódico,103142,,per888303
A Noticia,Periódico,103143,,per888311
A Noticia : jornal independente e noticioso,Periódico,30285,PR-SOR 01645,per711896
A Noticia : jornal independente e noticioso,Periódico,103144,,per888320
A Ordem,Periódico,103063,,per891924
A platea,Periódico,102980,,per230715
A Pua,Periódico,102832,,per891916
A Reforma,Periódico,102593,,per228052
A Revista do Rio,Periódico,102557,,perm09061
A Saudade,Periódico,102532,,per896918
A Semana,Periódico,102527,,per896314
A Semana,Periódico,102963,,per149195
A Semana,Periódico,103009,,per368016
A Semana,Periódico,103010,,per372293
A Tribuna,Periódico,103048,,per884286
A Tribuna,Periódico,103076,,per153931
A Vanguarda,Periódico,102874,,per895016
A Vanguarda,Periódico,102876,,per895113
A Vida Moderna,Periódico,102468,,per189740
A Vida Moderna,Periódico,103013,,per405060
A Época,Periódico,102974,,per184883
A Época,Periódico,103062,,per891878
ABI,Periódico,102442,,per057150
Aeronautica,Periódico,103034,,per032069
Agulha em Palheiro,Periódico,102441,,per896365
Album de A Cena Muda,Periódico,102982,,per278580
Alma Algarvia,Periódico,102896,,per890073
Alma Feminina,Periódico,102897,,per890120
Almanach do paiz,Periódico,102440,,per344850
Almanach eu sei tudo,Periódico,102985,,per329754
