Título,Anos,Local,Fichas Históricas,Quantidade de PDF,Links dos PDFs
Academia Portuguesa ,['1933'],Sem local,Sem Ficha Histórica,11,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/AcademiaPortuguesa/N09/N09_master/AcademiaPortuguesaN9.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AcademiaPortuguesa/N10/N10_master/AcademiaPortuguesaN10.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AcademiaPortuguesa/N12/N12_master/AcademiaPortuguesaN12.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AcademiaPortuguesa/N13/N13_master/AcademiaPortuguesaN13.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AcademiaPortuguesa/N14/N14_master/AcademiaPortuguesaN14.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AcademiaPortuguesa/N15/N15_master/AcademiaPortuguesaN15.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AcademiaPortuguesa/N17/N17_master/AcademiaPortuguesaN17.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AcademiaPortuguesa/N18/N18_master/AcademiaPortuguesaN18.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AcademiaPortuguesa/N19/N19_master/AcademiaPortuguesaN19.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AcademiaPortuguesa/N20/N20_master/AcademiaPortuguesaN20.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AcademiaPortuguesa/N21/N21_master/AcademiaPortuguesaN21.pdf']"
"O Académico: publicação bi-semanal redigida por alumnos dos cursos 
superiores ",[],Sem local,Sem Ficha Histórica,1,['https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoPublicacao/N19/N19_master/OAcademico.pdf']
O academico: revista quinzenal litteraria ,['1878'],Sem local,https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoRevistaQuinzenalLiteraria/../../FichasHistoricas/OAcademicoRevistaquinzenal.pdf,6,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoRevistaQuinzenalLiteraria/N01/N01_master/OAcademicoRevistaQuinzenalLitteraria_N01.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoRevistaQuinzenalLiteraria/N02/N02_master/OAcademicoRevistaQuinzenalLitteraria_N02.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoRevistaQuinzenalLiteraria/N03/N03_master/OAcademicoRevistaQuinzenalLitteraria_N03.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoRevistaQuinzenalLiteraria/N04/N04_master/OAcademicoRevistaQuinzenalLitteraria_N04.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoRevistaQuinzenalLiteraria/N05/N05_master/OAcademicoRevistaQuinzenalLitteraria_N05.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoRevistaQuinzenalLiteraria/N06/N06_master/OAcademicoRevistaQuinzenalLitteraria_N06.pdf']"
O Académico: semanário ilustrado ,['1902-1903'],Sem local,https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoSemanario/../../FichasHistoricas/OAcademico.pdf,8,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoSemanario/N1/N1_master/OAcademicoN1.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoSemanario/N2/N2_master/OAcademicoN2.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoSemanario/N3/N3_master/OAcademicoN3.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoSemanario/N4/N4_master/OAcademicoN4.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoSemanario/N5/N5_master/OAcademicoN5.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoSemanario/N6/N6_master/OAcademicoN6.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoSemanario/N7/N7_master/OAcademicoN7.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OAcademicoSemanario/N8/N8_master/OAcademicoN8.pdf']"
AccaoColonial_NComemorativo,['1934'],Sem local,Sem Ficha Histórica,1,['https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoColonial_NComemorativo/NComemorativo/NComemorativo_master/AccaoColonial_NComemorativo_1934.pdf']
Acção realista ,['1924-1926'],Sem local,Sem Ficha Histórica,29,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1924/Maio/N01/N01_master/AccaoRealistaN001.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1924/Maio/N01/N01_master/AccaoRealistaN001.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1924/Junho/N02/N02_master/AccaoRealistaN002.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1924/Julho/N03/N03_master/AccaoRealistaN003.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1924/Julho/N04/N04_master/AcçãoRealistaN04.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1924/Agosto/N05/N05_master/AccaoRealistaN005.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1924/Agosto/N06/N06_master/AccaoRealistaN006.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1924/Setembro/N07/N07_master/AccaoRealistaN007.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1924/Setembro/N08/N08_master/AccaoRealistaN008.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1924/Outubro/N09/N09_master/AccaoRealistaN009.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1924/Novembro/N10/N10_master/AccaoRealistaN010.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1924/Novembro/N11/N11_master/AccaoRealistaN011.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1924/Dezembro/N12/N12_master/AccaoRealistaN012.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1924/Dezembro/N13/N13_master/AccaoRealistaN013.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1925/Janeiro/N14/N14_master/AccaoRealistaN014.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1925/Janeiro/N15/N15_master/AccaoRealistaN015.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1925/Fevereiro/N16/N16_master/AccaoRealistaN016.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1925/Marco/N17_18/N17_18_master/AccaoRealistaN017_18.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1925/Abril/N19/N19_master/AccaoRealistaN019.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1925/Maio/N20/AccaoRealistaN020.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1925/Junho/N21/N21_master/AccaoRealistaN021.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1925/Julho/N22/N22_master/AccaoRealistaN022.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1925/Setembro/N23_24/N23_24_master/AccaoRealistaN023_24.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1925/Novembro/N25_26/N25_26_master/AccaoRealistaN025_26.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1925/Dezembro/N27_28/N27_28_master/AccaoRealistaN027_28.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1926/Janeiro/N29/N29_master/AccaoRealistaN029.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1926/Fevereiro/N30/N30_master/AccaoRealistaN030.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1926/Março/N31/N31_master/AccaoRealistaN031.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AccaoRealista/1926/Outubro/N32/N32_master/AccaoRealistaN032.pdf']"
"La Acción, Ano 1, n.º 1 (1 de Febrero de 1908) ",[],Sem local,Sem Ficha Histórica,1,['https://hemerotecadigital.cm-lisboa.pt/Periodicos/LaAccion/LaAccion_master/LaAccion.pdf']
Actas da Câmara Municipal de Lisboa ,['1974'],Sem local,Sem Ficha Histórica,3,"['https://hemerotecadigital.cm-lisboa.pt/OBRAS/ActasCML/N489/N489_master/ActaN489.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/ActasCML/N490/N490_master/ActaN490.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/ActasCML/N491/N491_master/ActaN491.pdf']"
Actas das sessões da Câmara Municipal de Lisboa ,[],Sem local,Sem Ficha Histórica,8,"['https://hemerotecadigital.cm-lisboa.pt/OBRAS/ActasSCML/1908/ActasSCML_master/Actas_1908.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/ActasSCML/1909/1909_master/Actas_1909.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/ActasSCML/1910/1910_master/ActasdasSessoesdaCML1910.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/ActasSCML/1914/1914_master/ActasdasSessoesCML_1914.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/ActasSCML/1915/1915_master/ActasdasSessoesCML_1915.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/ActasSCML/1916/1916_master/ActasdasSessoesCML_1916.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/ActasSCML/1917/1917_master/ActasdasSessoesCML_1917.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/ActasSCML/1918/1918_master/ActasdasSessoesCML_1918.pdf']"
Água lustral : arte e crítica ,['1913'],Coimbra,Sem Ficha Histórica,1,['https://hemerotecadigital.cm-lisboa.pt/Periodicos/AguaLustral/N01/N01_master/AguaLustral_N01_1913.pdf']
