Sem local,Sem local
"Lisboa,",Lisboa
"Coimbra,",Coimbra
"Rio de Janeiro,",Rio de Janeiro
"Porto,",Porto
",",Sem local
Indice,Sem local
"Série 2 e 3, Lisboa,",Lisboa
"I e II Séries, Lisboa,",Lisboa
Novembro,Sem local
"Lisboa e Rio de Janeiro,",Lisboa e Rio de Janeiro
"Porto, )",Porto
"Praia,",Praia
25 de Abril a 2 de Maio de,Sem local
N.º 629 ao n.º 714,Sem local
"Lourenço Marques,",Lourenço Marques
"Nova Goa,",Nova Goa
29 Dez.,Sem local
Outubro,Sem local
N.º 1 ao n.º 52 |,Sem local
"Paris,",Paris
"Rio de Janeiro, 13 Maio",Rio de Janeiro
"Lisboa, -",Lisboa
N.º 1 | 2 de Dezembro de,Sem local
9 Dezembro,Sem local
I e II Séries |,Sem local
"Díli,",Díli
1 Junho,Sem local
"Rio de Janeiro, 11 a 18 de Maio de",Rio de Janeiro
"Washington, October",Washington
"Paris, 11-18 Mai",Paris
"Paris, 17-23 Avril",Paris
"Luanda, 15 de Agosto de",Luanda
Abril  | N.º  ao n.º,Sem local
N.º 1 ao n.º 35 |,Sem local
21 Novembro,Sem local
30 Maio,Sem local
| N.º 1 ao n.º 28,Sem local
"Bolama, Guiné, Nov.",Bolama
"Macau,",Macau
"Coimbra, Junho",Coimbra
"Madrid, 11 Mayo   8 Junio",Madrid
"Lisboa,  -",Lisboa
"1.º Ano,",Sem local
