hash,author,date,title,description
bd2d30e,Eric Brasil,2023-10-02,"Merge branch 'main' of https://github.com/ericbrasiln/hemdig-framework",""
d94ae16,Eric Brasil,2023-10-02,"atualização do link para o banner de logos",""
e1ffedf,Eric Brasil,2023-10-02,"Essa linha é o título do commit (50 caracteres)","Texto descritivo do commit (tem início após um linha em branco após do título).
Quantas linhas forem necessárias.
Seja o mais detalhado possível.
"
856df51,Eric Brasil,2023-10-02,"sugestão de citação",""
f9214dd,Eric Brasil,2023-10-02,"inclusão de sugestão de citação",""
300678c,Eric Brasil,2023-10-02,"criação do ficheiro para citação",""
aa4eec5,Eric Brasil,2023-10-02,"inserção do DOI",""
bb2a126,Eric Brasil,2023-10-01,"correção de links para o branch main",""
5dc6dc7,Eric Brasil,2023-10-01,"upd banner geral",""
823845e,Eric Brasil,2023-10-01,"exclusão do banner",""
6ca3569,Eric Brasil,2023-10-01,"exclusão de exemplos repetidos",""
0b85a80,Eric Brasil,2023-10-01,"Merge pull request #47 from ericbrasiln/31-jupyter-book","31 jupyter book"
ea73d9c,Eric Brasil,2023-10-01,"correção da licença (padronizar com book)",""
0ec7391,Eric Brasil,2023-10-01,"upd caminhos, referências,  banner",""
58a80de,Eric Brasil,2023-10-01,"revisões gerais para publicação",""
873781f,Eric Brasil,2023-10-01,"atualização da imagem",""
a960892,Eric Brasil,2023-10-01,"correção de link",""
3c1becf,Eric Brasil,2023-10-01,"Merge pull request #46 from ericbrasiln/revisao-metadados","Revisao metadados"
50e87e1,Eric Brasil,2023-10-01,"metadados sobre diretório data/",""
629c889,Eric Brasil,2023-10-01,"upd caminhos",""
e372e7b,Eric Brasil,2023-10-01,"caminhos no gitignore",""
d004900,Eric Brasil,2023-10-01,"upd dos caminhos e redação de acordo com o book",""
4d99b42,Eric Brasil,2023-10-01,"upd dos caminhos e exclusão de dados redundantes",""
d4faac5,Eric Brasil,2023-10-01,"exclusão de dados redundantes",""
73c6ed0,Eric Brasil,2023-10-01,"update caminhos nos notebooks",""
459cd9e,Eric Brasil,2023-10-01,"atualização dos notebooks com caminhos atualizados",""
ea9fbb2,Eric Brasil,2023-09-29,"Upd de caminhos",""
3775059,Eric Brasil,2023-09-29,"Primeira atualização geral dos títulos e links do repo",""
ef7bec0,Eric Brasil,2023-09-29,"correção da licença",""
8f1425f,Eric Brasil,2023-09-29,"explicação dos ícones do menu",""
d3cdca7,Eric Brasil,2023-09-29,"correção das listas",""
85cbd79,Eric Brasil,2023-09-29,"imagens dos ícones do jupyter book",""
a735ad9,Eric Brasil,2023-09-29,"upd da imagem",""
b8f9601,Eric Brasil,2023-09-29,"banner com logos completo",""
07cff8a,Eric Brasil,2023-09-29,"inclusão de logos das universidades e instituições",""
aa37028,Eric Brasil,2023-09-29,"correção do toc",""
a04e43a,Eric Brasil,2023-09-29,"primeira versão das considerações finais",""
4bde589,Eric Brasil,2023-09-29,"inclusão de ref cruzada",""
a66ed52,Eric Brasil,2023-09-29,"atualização: inclusão da lista de links",""
d26051f,Eric Brasil,2023-09-29,"infos sobre DDP",""
e9de6ea,Eric Brasil,2023-09-29,"inclusão de links",""
f377c09,Eric Brasil,2023-09-29,"exclusão de ficheiros repetidos",""
212de50,Eric Brasil,2023-09-29,"exclusão de linhas em branco",""
7daf267,Eric Brasil,2023-09-29,"finalização dos apêndices",""
1a1604a,Eric Brasil,2023-09-28,"inclusao de agradecimentos e biblio geral",""
9c7af07,Eric Brasil,2023-09-28,"FAIR + OSF",""
f91914f,Eric Brasil,2023-09-28,"parte 5: revisão docs, meta, publi",""
70753cf,Eric Brasil,2023-09-28,"revisão parte 4: gui, refs, toc",""
c02ac38,Eric Brasil,2023-09-28,"finalização da revisão: conclusões e recomendações",""
20d7f00,Eric Brasil,2023-09-28,"atualização do toc",""
a23522b,Eric Brasil,2023-09-28,"finalização do OCR-d, revisão da estrutura",""
1970168,Eric Brasil,2023-09-28,"revisão do cap 10",""
682b650,Eric Brasil,2023-09-27,"Links para capítulos, ref cruzada",""
074fa36,Eric Brasil,2023-09-27,"explicação ocr. reorganização do cap 10",""
ad62a11,Eric Brasil,2023-09-27,"finalização do doc pesquisa.md",""
0d14658,Eric Brasil,2023-09-27,"início da parte do histórico da pesquisa",""
6abc9a5,Eric Brasil,2023-09-27,"upd do toc",""
fc4b31b,Eric Brasil,2023-09-27,"update do index (inclusão de intro, estrutura)",""
cbd4f39,Eric Brasil,2023-09-27,"atualização da estrutura dos elementos pré-textuais",""
434936d,Eric Brasil,2023-09-26,"Atualização da intro e das referências",""
711c598,Eric Brasil,2023-09-25,"Correção de links e caminhos",""
3223378,Eric Brasil,2023-09-25,"Finalização da revisão da parte 3",""
f13ec61,Eric Brasil,2023-09-25,"Remoção de banners em construção",""
f7298a7,Eric Brasil,2023-09-25,"atualização do capítulo 8",""
d96ab71,Eric Brasil,2023-09-25,"Atualização do capítulo 7",""
bf896e3,Eric Brasil,2023-09-22,"correções de links",""
babfb94,Eric Brasil,2023-09-22,"atualização do arquivo de referências",""
7039b58,Eric Brasil,2023-09-22,"inclusão de gráficos  originais do impresso",""
58ea168,Eric Brasil,2023-09-22,"Revisão da parte 2 completa",""
a7f2f9e,Eric Brasil,2023-09-22,"atualização das referências .bib",""
1f2bb6c,Eric Brasil,2023-09-22,"Revisão dos nb da parte 2",""
022f9c9,Eric Brasil,2023-09-22,"Revisão das refs e bibliografia",""
76e2d2f,Eric Brasil,2023-09-22,"inclusão de referencias na parte 1",""
0491353,Eric Brasil,2023-09-22,"atualização de referencias",""
1ad9f1a,Eric Brasil,2023-09-22,"imagens de exemplos de estrutura de dados",""
8e973ed,Eric Brasil,2023-09-22,"Revisão da parte 1 concluída",""
c07056a,Eric Brasil,2023-09-01,"upd título da seção",""
2fad91a,Eric Brasil,2023-09-01,"inclusão de readmes nos dir e atualização do path",""
1c99407,Eric Brasil,2023-09-01,"imagem da bib do zotero atualizada",""
6d5f70b,Eric Brasil,2023-09-01,"arquivos dos dados do wos",""
9e683e5,Eric Brasil,2023-09-01,"atualização do cap 1","incluão de busca no wos
"
6006511,Eric Brasil,2023-09-01,"Atualização do cap 1",""
2adaf9f,Eric Brasil,2023-08-25,"correção de caminho",""
e794428,Eric Brasil,2023-08-25,"revisão e inclusão de banner pag em contrução",""
d8da4fa,Eric Brasil,2023-08-25,"atualização da imagem da bib zot",""
cd3e1cb,Eric Brasil,2023-08-23,"atualização degrla de link e refs",""
3add2e9,Eric Brasil,2023-08-23,"charts gerados pelo nb 5.2",""
bdcf733,Eric Brasil,2023-08-23,"execução do nb",""
9eaf8c3,Eric Brasil,2023-08-23,"função aux para nb impresso",""
b46ed60,Eric Brasil,2023-08-23,"execução do nb",""
def49cc,Eric Brasil,2023-08-23,"tag remove-output",""
478a020,Eric Brasil,2023-08-23,"execução do nb",""
d368344,Eric Brasil,2023-08-23,"novos csv a partir do nb do livro",""
f40d1a1,Eric Brasil,2023-08-23,"atualização do texto",""
871e2c3,Eric Brasil,2023-08-23,"atualização parte 2","execução do nb da hdb
"
96388d2,Eric Brasil,2023-08-23,"revisão da parte 1",""
83d80fa,Eric Brasil,2023-08-23,"correção de sintaxe das imagens",""
78bc9f5,Eric Brasil,2023-08-23,"atualização das imagens até parte 3",""
c530cc9,Eric Brasil,2023-08-22,"atualização geral das partes 4 e 5",""
4005663,Eric Brasil,2023-08-22,"logos no yml e index",""
a1513ff,Eric Brasil,2023-08-22,"inclusão dos logos",""
065b8b8,Eric Brasil,2023-08-21,"Atualização do toc",""
13b8de8,Eric Brasil,2023-08-21,"Inclusão de letras nos apêndices",""
ad5a611,Eric Brasil,2023-08-21,"correções de escrita",""
17b1e49,Eric Brasil,2023-08-21,"Inclusão dos diagramas nos nb",""
586e444,Eric Brasil,2023-08-21,"diagramas das fases 4 e 5",""
f47cd0b,Eric Brasil,2023-08-21,"correção do nome do ficheiro",""
e89f12a,Eric Brasil,2023-08-21,"avanço na criação de diagramas","(fases 1 a 3)
"
e11afac,Eric Brasil,2023-08-21,"reorganização bibliografia para dir data",""
9f6d67b,Eric Brasil,2023-08-21,"atualização do cap5",""
ccc8c0f,Eric Brasil,2023-08-21,"atualização do cap4",""
c14d0dd,Eric Brasil,2023-08-21,"atualização do toc",""
8af5c70,Eric Brasil,2023-08-21,"atualização e reorganização do cap 3",""
211d12f,Eric Brasil,2023-08-21,"atualização do toc",""
fd187ab,Eric Brasil,2023-08-21,"atualização das lições do proghist cap 2",""
c6b562b,Eric Brasil,2023-08-21,"inclusão das versões bib para escopus e todas para geral",""
cd0eab6,Eric Brasil,2023-08-21,"criação da pasta assets e images","inclusão de print da bib do zot
"
7979e3f,Eric Brasil,2023-08-21,"atualização do capítulo 1",""
2c57623,Eric Brasil,2023-08-21,"Atualizações apêndices e cap 1",""
ba6a311,Eric Brasil,2023-08-21,"atualização dos elementos pós e pre textuais",""
262e053,Eric Brasil,2023-08-21,"Diretório de dados na raiz do repositório",""
4721f73,Eric Brasil,2023-08-16,"atualização do livro aprtes 3 e 4",""
daa44f4,Eric Brasil,2023-08-15,"update do livro partes 1 e 2",""
56cbb03,Eric Brasil,2023-08-15,"capítulo 1: atualizações iniciais",""
b11939d,Eric Brasil,2023-08-14,"atualização geral da estrutura do livro",""
d58103e,Eric Brasil,2023-08-14,"Retorno do dir para local correto",""
cfa6060,Eric Brasil,2023-08-12,"Novos teste - plotly ok",""
2be2388,Eric Brasil,2023-08-12,"testes iniciais com jupyter-book",""
6801df0,Eric Brasil,2023-08-11,"Merge branch 'main' into 31-jupyter-book",""
9b6b574,Eric Brasil,2023-08-11,"Atualização da plainlha de logs","Comando utilizado: `git log --pretty=format:'%h,%an,%as,"%s","%b"' > log_main.csv`
"
d7882f6,Eric Brasil,2023-08-11,"update cronograma",""
9b87957,Eric Brasil,2023-08-11,"Merge pull request #44 from ericbrasiln/42-ocr-com-gui","42 ocr com gui"
5779059,Eric Brasil,2023-08-11,"Reorganização da estrutura do dir ocr_olr",""
8f141c9,Eric Brasil,2023-08-11,"Atualização a partir da nova estrutura do repo",""
8267ad2,Eric Brasil,2023-08-11,"Atualização com capítulos",""
0278834,Eric Brasil,2023-08-11,"exclusão de dir de imgs e reestruturação dos dirs",""
f5521ce,Eric Brasil,2023-08-11,"exclusão de imgs e atualização dos caminhos",""
ae32a7c,Eric Brasil,2023-08-11,"Atualização da estrutura e caminho de imagens no nb",""
