Propriedade,Grupo de propriedades,Critério de avaliação,HDB,BND-PT,"Hemeroteca Digital, Lisboa"
Número de  título(s) de periódico(s) na coleção,A - Informações sobre a coleção de periódicos,1 - Crítica da fonte,Sim,sim,não
Número de edições na coleção,A - Informações sobre a coleção de periódicos,1 - Crítica da fonte,Sim,sim,não
Número de páginas na coleção,A - Informações sobre a coleção de periódicos,1 - Crítica da fonte,Sim,não,não
Número de artigos na coleção,A - Informações sobre a coleção de periódicos,1 - Crítica da fonte,Sim,não,não
"Títulos alternativos, relacionados ou anteriores/ subsequentes",B - Metadados dos periódicos,1 - Crítica da fonte,não,não,não
Lugar de publicação,B - Metadados dos periódicos,1 - Crítica da fonte,sim,sim,sim
Cobertura geográfica,B - Metadados dos periódicos,1 - Crítica da fonte,não,não,não
Editor,B - Metadados dos periódicos,1 - Crítica da fonte,não,sim,sim
Período de publicação,B - Metadados dos periódicos,1 - Crítica da fonte,sim,sim,sim
Periodicidade,B - Metadados dos periódicos,1 - Crítica da fonte,não,sim,não
Descrição histórica,B - Metadados dos periódicos,1 - Crítica da fonte,não,não,sim
Idioma,B - Metadados dos periódicos,1 - Crítica da fonte,não,sim,não
Visão em calendário da coleção,B - Metadados dos periódicos,1 - Crítica da fonte,não,sim,sim
Indicação do titular do arquivo,B - Metadados dos periódicos,6 - Conectividade,não se aplica,sim,não se aplica
Links externos,B - Metadados dos periódicos,6 - Conectividade,não,sim,sim
Navegação por data,C - Navegação,3 - Filtro de conteúdo,sim,sim,sim
Navegação por título do periódico,C - Navegação,3 - Filtro de conteúdo,sim,sim,sim
Navegação por local de publicação,C - Navegação,3 - Filtro de conteúdo,sim,sim,sim
Navegação por tag de usuário,C - Navegação,3 - Filtro de conteúdo,não,não,não
Navegação por tema do periódico (metadados),C - Navegação,3 - Filtro de conteúdo,não,sim,sim
Busca por palavra-chave nos metadados,D - Opções de pesquisa,2 - Busca de conteúdo,sim,sim,não
Busca por palavra-chave no conteúdo,D - Opções de pesquisa,2 - Busca de conteúdo,sim,sim,não
Operadores Booleanos,D - Opções de pesquisa,2 - Busca de conteúdo,não,sim,não
Busca por frases,D - Opções de pesquisa,2 - Busca de conteúdo,sim,sim,não
Fuzzy search,D - Opções de pesquisa,2 - Busca de conteúdo,não,não,não
Wild card,D - Opções de pesquisa,2 - Busca de conteúdo,sim,sim,não
Operador de proximidade,D - Opções de pesquisa,2 - Busca de conteúdo,não,não,não
Limite de data,D - Opções de pesquisa,2 - Busca de conteúdo,sim,sim,não
Limite por idioma,D - Opções de pesquisa,2 - Busca de conteúdo,não,sim,não
Limite por título de periódico,D - Opções de pesquisa,2 - Busca de conteúdo,sim,sim,não
Limite por local de publicação,D - Opções de pesquisa,2 - Busca de conteúdo,sim,sim,não
Limite por temática (metadados),D - Opções de pesquisa,2 - Busca de conteúdo,não,sim,não
