Título,Material,Cód. título,Números de chamada local,Objeto Digital
19 de Outubro,Periódico,95759,"P18B,03,37",per770400
A Abelha,Periódico,85471,"P36,06,01",per789887
A abelha,Periódico,97032,PR-SOR 02784,per332135
A Academia de Sao Paulo,Periódico,97407,PR-SOR 04137,per712574
A Actualidade,Periódico,96108,PR-SOR 04132,per744018
A Alvorada,Periódico,96265,PR-SOR 06625,per739227
A América,Periódico,95800,PR-SOR 04083,per770108
A Arte,Periódico,98056,"P44,03,15-16",per889784
A Assemblea Catholica,Periódico,96815,PR-SOR 02865,per734713
A Aurora,Periódico,97007,PR-SOR 02372,per719498
A Aurora,Periódico,97393,PR-SOR 04145,per712612
A Avenida,Periódico,95799,PR-SOR 04330,per770132
A Baboza,Periódico,97915,PR-SOR 00556,per702145
A Borboleta,Periódico,96193,,per740489
A Borboleta,Periódico,96814,PR-SOR 02866,per734721
A Borboleta,Periódico,98084,,per736031
A California,Periódico,97036,"P14,02,39",per718823
A Camelia,Periódico,96069,,per232416
A Capital : orgam livre,Periódico,31009,,per765635
A Carapuça,Periódico,42087,,per811491
A Carapuça,Periódico,95981,PR-SOR 03611,per756091
A Caridade,Periódico,98128,,per850837
A Chrysalida,Periódico,96173,PR-SOR 04131,per743003
A Chrysalida,Periódico,96859,PR-SOR 04255,per733466
A Chrysalida,Periódico,98134,,per851833
A Cidade,Periódico,98147,,per881830
A Cigarra,Periódico,98152,,per003085
A Circular,Periódico,98153,,per409707
A Coallisao,Periódico,98158,"P30,01,50",per896110
A Consciencia,Periódico,97381,PR-SOR 04138,per712736
A Crença,Periódico,97470,PR-SOR 02882,per710962
A Crença,Periódico,97721,PR-SOR 03473,per382752
A Cruz,Periódico,97211,PR-SOR 03238,per717185
A Cruz,Periódico,98191,,per896160
A Democracia,Periódico,96162,PR-SOR 04157,per743020
A Democracia,Periódico,96342,PR-SOR 03500,per739022
A Discussão,Periódico,97411,"P11A,05,14",per712116
A Durindana,Periódico,98027,"P01,04,29",per700606
A Epoca,Periódico,97557,PR-SPR 02613-02620,per366161
A Epoca,Periódico,98209,,per898511
A Epocha,Periódico,90055,,per851213
A Epocha,Periódico,97398,PR-SOR 03483,per352349
A Eschola,Periódico,97487,PR-SOR 02031,per710504
A Escola,Periódico,96012,"P18B,01,07",per755761
A Escola de adultos,Periódico,98215,,per410779
A Esperança,Periódico,95927,,per758647
A Esquerda,Periódico,96903,PR-SPR 00162 [1],per720992
A Estrea,Periódico,95715,PR-SOR 00697,per772950
A Evolução,Periódico,96820,PR-SOR 04240,per733750
A Evolução,Periódico,97310,PR-SPR 02575,per714364
A Familia,Periódico,97495,"P02,05,33, ex.1",per362794
A Familia Maçonica,Periódico,96783,,per247782
A Flecha,Periódico,97894,"P25,02,33",per417831
A Folha de Sergipe,Periódico,97412,PR-SOR 02917,per711284
A folha Mineira,Periódico,98467,,per881848
A folha regional,Periódico,99564,,per881996
A Formiga,Periódico,96576,PR-SOR 03211,per737119
A Fé,Periódico,97771,PR-SOR 04626,per385336
A Gare,Periódico,98469,,per351024
A Gaveta do Diabo,Periódico,95850,PR-SOR 03524 [1],per226769
A Gazeta,Periódico,95864,PR-SPR 00663[1-20],per764507
A Gazetilha,Periódico,96353,PR-SOR 03714,per738743
A Gazetinha,Periódico,95770,PR-SOR 04296,per770337
A Gazetinha,Periódico,96723,,per734802
A Greve,Periódico,95768,PR-SPR 02553,per770361
A Idea,Periódico,96707,,per734829
A Illustração,Periódico,98947,"P01,05,01, ex.1",per896217
A illustração,Periódico,98952,,per896861
A Illustração universal,Periódico,98949,,per896810
A Imprensa,Periódico,96007,PR-SPR 00657[1-2],per228940
A Imprensa Fluminense,Periódico,97604,PR-SOR 02768,per705799
A Lanterna de Diogenes,Periódico,96863,PR-SOR 03170,per731013
A Lanterna Magica,Periódico,97838,PR-SOR 00748,per702641
A Liberdade,Periódico,95708,PR-SOR 04331,per778001
A Liberdade,Periódico,95754,PR-SOR 04097,per770434
A Liberdade,Periódico,97715,PR-SOR 05710,per382345
A Liga,Periódico,96861,PR-SOR 04067,per733440
A Luzitania Triunfante,Periódico,97972,PR-SOR 00573,per701769
A Lyra,Periódico,96242,PR-SOR 02778,per739243
A Maça,Periódico,97223,PR-SPR 00152[1-8],per338109
A Metralhadora,Periódico,95669,PR-SOR 04099,per778516
A Monarchia,Periódico,95982,PR-SOR 03482,per228303
A Mutuca Picante,Periódico,98026,PR-SOR 00521,per701360
A Nebulosa,Periódico,96042,PR-SOR 03451,per748820
A Nova Crença,Periódico,96002,PR-SPR 01204,per756008
A Nova Epocha,Periódico,95881,PR-SOR 00218,per761313
A Novidade,Periódico,98005,PR-SOR 00519,per701475
A Onda,Periódico,95752,PR-SPR 02552,per770477
A Opiniao,Periódico,95853,PR-SOR 04256 [1],per227188
A Opinião,Periódico,97297,PR-SOR 04275,per714500
A Opinião,Periódico,97645,PR-SOR 03026,per705004
A Ordem,Periódico,97278,PR-SOR 04328,per714607
A Ordem,Periódico,97631,PR-SPR 00736[1-33],per367729
A Ordem,Periódico,97718,PR-SOR 03616,per703273
A Ordem,Periódico,97847,PR-SOR 03006,per702552
A Pacotilha do Tio Ignacio das Merces,Periódico,29075,"P17,03,120",per403962
A Parahyba,Periódico,97647,PR-SOR 03029,per704970
A Patria,Periódico,97561,PR-SOR 05657,per366170
A Penna Caricata,Periódico,96343,PR-SOR 04202,per738956
A Pilheria,Periódico,95751,PR-SOR 04272,per770507
A Pilheria,Periódico,96352,PR-SOR 02776,per738794
A Pinça,Periódico,95904,"P22B,04,169",per758698
A Provincia de Goyaz,Periódico,97214,"P11B,06,41",per716758
A Quinzena,Periódico,95736,PR-SPR 02565,per770515
A Rabequinha,Periódico,96987,PR-SOR 02373,per719684
A Reaccao,Periódico,97730,"P11B,05,82",per383295
A Reforma,Periódico,97408,PR-SOR 02242,per712337
A Regeneração,Periódico,96687,"P16,02,183",per735043
A Republica,Periódico,95880,PR-SOR 00232,per761370
A Republica,Periódico,97491,"P11A,06,123",per362620
A Republica,Periódico,97503,"P16,02,198",per364940
A Rosa,Periódico,96437,PR-SOR 03207,per737674
A Rua,Periódico,95732,PR-SOR 04276,per770566
"A Rusga da Carioca ou A Briga entre o Conego Ignez, Lucas, Ripanso e o capitao dos muleques",Periódico,98006,PR-SOR 00531,per701459
A Semana,Periódico,95828,PR-SOR 00400,per765643
A Semana Illustrada,Periódico,97723,PR-SOR 02334[1-8],per702951
A Sentinella da Instrucçao,Periódico,96239,PR-SOR 03487,per739391
A Terra da Redempçao,Periódico,96846,PR-SOR 04212,per259357
A Thesoura,Periódico,95726,PR-SOR 05510,per771007
A Thesoura,Periódico,97271,PR-SOR 04181,per714993
A Torre de Babel,Periódico,97917,PR-SOR 00490,per702129
A Tribuna,Periódico,96236,PR SOR 03496 [1],per739499
A Trombeta,Periódico,97918,PR-SOR 00493,per702080
A Uniao Operaria,Periódico,96819,PR-SPr 00063 [1],per259233
A União,Periódico,97890,PR-SOR 02767,per409677
A Vacca,Periódico,95711,PR-SOR 04345,per777960
A Ventarola,Periódico,96227,PR-SOR 04220,per739634
A Verdade,Periódico,96806,PR-SOR 02489 [1],per247863
A Verdade,Periódico,97668,PR-SOR 02764,per375560
A Vida de Hoje,Periódico,95825,PR-SOR 00757,per766151
A Violeta,Periódico,97475,PR-SOR 04627-04631,per361674
A Voz da Razão,Periódico,97980,PR-SOR 00410,per701718
A Voz da Verdade,Periódico,97060,PR-SOR 03405,per718718
A Voz da Verdade,Periódico,97379,PR-SOR 02214,per714191
