,Local
Sem local,241
"Lisboa,",53
"Coimbra,",8
"Rio de Janeiro,",4
"Porto,",4
",",2
Indice,1
"Série 2 e 3, Lisboa,",1
"I e II Séries, Lisboa,",1
Novembro,1
"Lisboa e Rio de Janeiro,",1
"Porto, )",1
"Praia,",1
25 de Abril a 2 de Maio de,1
N.º 629 ao n.º 714,1
"Lourenço Marques,",1
"Nova Goa,",1
29 Dez.,1
Outubro,1
N.º 1 ao n.º 52 |,1
"Paris,",1
"Rio de Janeiro, 13 Maio",1
"Lisboa, -",1
N.º 1 | 2 de Dezembro de,1
9 Dezembro,1
I e II Séries |,1
"Díli,",1
1 Junho,1
"Rio de Janeiro, 11 a 18 de Maio de",1
"Washington, October",1
"Paris, 11-18 Mai",1
"Paris, 17-23 Avril",1
"Luanda, 15 de Agosto de",1
Abril  | N.º  ao n.º,1
N.º 1 ao n.º 35 |,1
21 Novembro,1
30 Maio,1
| N.º 1 ao n.º 28,1
"Bolama, Guiné, Nov.",1
"Macau,",1
"Coimbra, Junho",1
"Madrid, 11 Mayo   8 Junio",1
"Lisboa,  -",1
"1.º Ano,",1
