"Propriedade","Grupo de propriedades","Critério de avaliação","HDB","BND-PT","Hemeroteca Digital, Lisboa"
"Número de  título(s) de periódico(s) na coleção","A - Informações sobre a coleção de periódicos","1 - Crítica da fonte","Sim",,
"Número de edições na coleção","A - Informações sobre a coleção de periódicos","1 - Crítica da fonte","Sim",,
"Número de páginas na coleção","A - Informações sobre a coleção de periódicos","1 - Crítica da fonte","Sim",,
"Número de artigos na coleção","A - Informações sobre a coleção de periódicos","1 - Crítica da fonte","Sim",,
"Títulos alternativos, relacionados ou anteriores/ subsequentes","B - Metadados dos periódicos","1 - Crítica da fonte",,,
"Lugar de publicação","B - Metadados dos periódicos","1 - Crítica da fonte",,,
"Cobertura geográfica","B - Metadados dos periódicos","1 - Crítica da fonte",,,
"Editor","B - Metadados dos periódicos","1 - Crítica da fonte",,,
"Período de publicação","B - Metadados dos periódicos","1 - Crítica da fonte",,,
"Periodicidade","B - Metadados dos periódicos","1 - Crítica da fonte",,,
"Descrição histórica","B - Metadados dos periódicos","1 - Crítica da fonte",,,
"Idioma","B - Metadados dos periódicos","1 - Crítica da fonte",,,
"Visão em calendário da coleção","B - Metadados dos periódicos","1 - Crítica da fonte",,,
"Indicação do titular do arquivo","B - Metadados dos periódicos","6 - Conectividade",,,
"Links externos","B - Metadados dos periódicos","1 - Crítica da fonte",,,
"Links externos","B - Metadados dos periódicos","6 - Conectividade",,,
"Navegação por data","C - Navegação","3 - Filtro de conteúdo",,,
"Navegação por título do periódico","C - Navegação","3 - Filtro de conteúdo",,,
"Navegação por local de publicação","C - Navegação","3 - Filtro de conteúdo",,,
"Navegação por tag de usuário","C - Navegação","3 - Filtro de conteúdo",,,
"Navegação por tema do periódico (metadados)","C - Navegação","3 - Filtro de conteúdo",,,
"Busca por palavra-chave básica","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Operadores Booleanos","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Busca por frases","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Fuzzy search","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Wild card","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Operador de proximidade","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Limite de data","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Limite por idioma","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Limite por título de periódico","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Limite por local de publicação","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Limite por temática (metadados)","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Lilmte por segmentos / zonas do periódico","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Limite por categoria de artigo","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Limite por extensão do artigo","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Limite por titular do arquivo / biblioteca","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Limite por licença / acessibilidade","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Busco por entidades nomeadas","D - Opções de pesquisa","2 - Busca de conteúdo",,,
"Query autocomplete","D - Opções de pesquisa","4 - Generosidade",,,
"Sugestão de query","D - Opções de pesquisa","4 - Generosidade",,,
"Pré-visualização de trechos de texto com OCR ou imagem","E - Exibição dos resultados da busca","1 - Crítica da fonte",,,
"Busca em página visualizada","E - Exibição dos resultados da busca","2 - Busca de conteúdo",,,
"Opção de continuar para próximo resultado","E - Exibição dos resultados da busca","2 - Busca de conteúdo",,,
"Distribuição ao longo do tempo","E - Exibição dos resultados da busca","4 - Generosidade",,,
"Distribuição por local de publicação","E - Exibição dos resultados da busca","4 - Generosidade",,,
"Distribuição por cobertura de periódico","E - Exibição dos resultados da busca","4 - Generosidade",,,
"Distribuição por nomes de lugares nos artigos","E - Exibição dos resultados da busca","4 - Generosidade",,,
"N-grams","E - Exibição dos resultados da busca","4 - Generosidade",,,
"Por relevância","F - Organização dos resultados da busca","3 - Filtro de conteúdo",,,
"Por data","F - Organização dos resultados da busca","3 - Filtro de conteúdo",,,
"Por título do periódico","F - Organização dos resultados da busca","3 - Filtro de conteúdo",,,
"Por título do artigo","F - Organização dos resultados da busca","3 - Filtro de conteúdo",,,
"Por tipo de conteúdo (propaganda, artigo, ilustração)","F - Organização dos resultados da busca","3 - Filtro de conteúdo",,,
"Por data de publicação online","F - Organização dos resultados da busca","3 - Filtro de conteúdo",,,
"Por autor","F - Organização dos resultados da busca","3 - Filtro de conteúdo",,,
