"Informações","HDB","BND-PT","Hemeroteca Digital, Lisboa"
"Instituição mantenedora","Fundação Biblioteca Nacional, Brasil","Biblioteca Nacional de Portugal","Bibliotecas de Lisboa"
"Escopo geral", 1740 a 2023, 1640 a 1997,
"URL","http://memoria.bn.br/hdb/","https://bndigital.bnportugal.gov.pt/","https://hemerotecadigital.cm-lisboa.pt/"
"Data de criação aproximada",2012,,
"País","Brasil","Portugal","Portugal"
"Acesso","Livre","Livre","Livre"
"Idioma","Português","Português","Português"
"Criador",,,
"Licença",,,
"Robot.txt","404","404","404"
